m,StockCode,revenue,cnt_cus,cnt_pro
2010-12-01,20967,435.6,31,111
2010-12-01,20969,384.18,26,88
2010-12-01,20970,399.18,25,92
2010-12-01,20971,466.54999999999995,28,379
2010-12-01,20972,449.11,35,323
2010-12-01,20973,241.98,25,318
2010-12-01,20974,261.78000000000003,30,363
2010-12-01,20975,513.32,35,718
2010-12-01,20977,92.5,15,74
2010-12-01,20978,58.78,13,44
2010-12-01,20979,195.0,13,156
2010-12-01,20980,6.25,3,5
2010-12-01,20981,95.0,17,107
2010-12-01,20982,121.55,20,143
2010-12-01,20983,125.8,19,148
2010-12-01,20984,14.45,5,17
2010-12-01,20985,32.61,3,15
2010-12-01,20986,68.93,4,37
2010-12-01,20992,54.16,7,58
2010-12-01,20996,21.43,3,33
2010-12-01,20998,40.41,2,12
2010-12-01,21000,39.63,2,11
2010-12-01,21001,48.05,1,11
2010-12-01,21002,107.52,0,32
2010-12-01,21009,1.25,0,2
2010-12-01,21011,28.999999999999996,2,0
2010-12-01,21012,381.0,8,158
2010-12-01,21014,139.07,8,154
2010-12-01,21015,35.84,0,28
2010-12-01,21018,22.06,4,24
2010-12-01,21025,40.5,3,28
2010-12-01,21026,36.04,4,28
2010-12-01,21027,28.82,3,-48
2010-12-01,21028,7.569999999999999,0,5
2010-12-01,21030,20.05,4,17
2010-12-01,21031,19.21,2,15
2010-12-01,21032,25.9,3,22
2010-12-01,21033,260.5,10,82
2010-12-01,21034,191.9,77,202
2010-12-01,21035,490.07000000000005,18,129
2010-12-01,21038,29.500000000000004,3,10
2010-12-01,21039,52.620000000000005,4,18
2010-12-01,21040,10.2,3,-16
2010-12-01,21041,451.83000000000004,14,105
2010-12-01,21042,372.79,15,49
2010-12-01,21043,70.39,2,13
2010-12-01,21051,47.0,5,21
2010-12-01,21054,187.03,7,-10
2010-12-01,21055,361.43,11,35
2010-12-01,21056,205.85,9,23
2010-12-01,21058,25.38,3,27
2010-12-01,21059,21.25,3,25
2010-12-01,21060,10.2,1,12
2010-12-01,21061,34.849999999999994,4,41
2010-12-01,21062,56.1,5,66
2010-12-01,21063,33.15,4,39
2010-12-01,21064,142.74,7,22
2010-12-01,21065,203.49,6,127
2010-12-01,21066,17.54,3,10
2010-12-01,21067,78.92999999999999,1,45
2010-12-01,21068,384.56,5,346
2010-12-01,21069,168.94,9,116
2010-12-01,21070,32.57,1,19
2010-12-01,21071,318.24,12,246
2010-12-01,21078,72.78,5,71
2010-12-01,21080,769.84,42,858
2010-12-01,21086,198.31,16,288
2010-12-01,21089,1.3,1,2
2010-12-01,21090,3.4,1,4
2010-12-01,21094,442.36,18,583
2010-12-01,21095,6.8,0,8
2010-12-01,21098,1427.34,34,720
2010-12-01,21100,44.15,4,19
2010-12-01,21106,82.62,9,26
2010-12-01,21107,523.65,11,187
2010-12-01,21108,670.4399999999999,13,195
2010-12-01,21109,425.22999999999996,11,141
2010-12-01,21110,718.4499999999999,19,236
2010-12-01,21111,389.72,14,205
2010-12-01,21112,571.75,14,397
2010-12-01,21114,160.79,12,113
2010-12-01,21115,181.07999999999998,6,20
2010-12-01,21116,300.85,7,45
2010-12-01,21120,16.98,0,1
2010-12-01,21121,629.1600000000001,17,534
2010-12-01,21122,565.3100000000001,15,493
2010-12-01,21123,76.25,8,61
2010-12-01,21124,105.03,7,81
2010-12-01,21125,65.01,6,51
2010-12-01,21126,38.78,3,28
2010-12-01,21128,39.34,1,4
2010-12-01,21129,-13.9,1,-2
2010-12-01,21131,112.5,1,30
2010-12-01,21132,17.0,1,4
2010-12-01,21134,0.0,0,1
2010-12-01,21135,206.18,11,122
2010-12-01,21136,414.19,22,231
2010-12-01,21137,6294.54,17,1844
2010-12-01,21143,586.9,19,272
2010-12-01,21144,16.8,0,5
2010-12-01,21145,30.0,1,24
2010-12-01,21147,43.54,2,18
2010-12-01,21154,547.23,20,367
2010-12-01,21155,331.86,18,152
2010-12-01,21156,570.17,22,293
2010-12-01,21157,71.5,3,24
2010-12-01,21158,38.089999999999996,5,21
2010-12-01,21159,33.28,4,19
2010-12-01,21160,3.36,0,1
2010-12-01,21161,53.05,6,-90
2010-12-01,21162,21.15,3,8
2010-12-01,21163,39.54,5,22
2010-12-01,21164,348.1700000000001,20,111
2010-12-01,21165,584.4200000000001,28,290
2010-12-01,21166,1059.99,46,557
2010-12-01,21167,22.970000000000002,1,79
2010-12-01,21169,328.1,27,170
2010-12-01,21171,45.87,4,29
2010-12-01,21172,120.07,7,-1
2010-12-01,21174,439.76,15,168
2010-12-01,21175,868.0100000000001,39,367
2010-12-01,21179,87.27,7,58
2010-12-01,21181,2405.84,61,1182
2010-12-01,21186,6.72,0,4
2010-12-01,21187,255.6,11,140
2010-12-01,21188,50.230000000000004,1,9
2010-12-01,21189,130.74,4,44
2010-12-01,21190,162.8,3,112
2010-12-01,21191,502.71,9,158
2010-12-01,21192,429.96,10,187
2010-12-01,21194,60.92,2,27
2010-12-01,21195,169.98,2,87
2010-12-01,21196,1.65,1,1
2010-12-01,21197,21.45,2,13
2010-12-01,21198,40.32,2,96
2010-12-01,21199,48.33,3,63
2010-12-01,21200,87.28,3,109
2010-12-01,21201,104.51,6,40
2010-12-01,21202,128.1,2,194
2010-12-01,21204,10.08,0,3
2010-12-01,21205,53.39,5,19
2010-12-01,21206,244.95,6,323
2010-12-01,21207,68.07,4,34
2010-12-01,21208,6.66,0,3
2010-12-01,21209,8.37,1,3
2010-12-01,21210,888.19,28,566
2010-12-01,21211,149.76,5,100
2010-12-01,21212,2665.08,65,4076
2010-12-01,21213,894.9699999999999,27,1351
2010-12-01,21215,92.17,4,165
2010-12-01,21216,734.55,13,115
2010-12-01,21217,736.35,24,57
2010-12-01,21218,793.47,12,157
2010-12-01,21219,67.78,3,50
2010-12-01,21220,27.689999999999998,0,15
2010-12-01,21221,58.83,5,45
2010-12-01,21222,9.27,0,7
2010-12-01,21224,80.07,6,57
2010-12-01,21226,2.5,1,2
2010-12-01,21231,918.18,34,677
2010-12-01,21232,2032.68,52,1387
2010-12-01,21238,131.19,18,137
2010-12-01,21239,110.86999999999999,14,111
2010-12-01,21240,98.72999999999999,14,90
2010-12-01,21242,132.51,11,67
2010-12-01,21243,106.34,10,58
2010-12-01,21244,210.04999999999998,11,133
2010-12-01,21245,65.85,8,36
2010-12-01,21246,19.8,2,4
2010-12-01,21248,7.71,3,-14
2010-12-01,21249,109.27000000000001,3,25
2010-12-01,21250,5.9,1,2
2010-12-01,21251,44.32,1,8
2010-12-01,21253,76.77000000000001,2,19
2010-12-01,21257,1012.28,11,80
2010-12-01,21258,3765.2,31,247
2010-12-01,21259,1222.84,32,208
2010-12-01,21260,292.5,17,90
2010-12-01,21261,125.34,1,14
2010-12-01,21262,285.15000000000003,2,46
2010-12-01,21263,23.64,0,4
2010-12-01,21264,23.64,0,4
2010-12-01,21265,11.82,0,2
2010-12-01,21268,0.84,1,2
2010-12-01,21269,16.98,0,1
2010-12-01,21270,8.47,0,1
2010-12-01,21272,78.87,6,51
2010-12-01,21275,-25.799999999999997,2,-33
2010-12-01,21277,21.95,1,1
2010-12-01,21279,70.96,1,17
2010-12-01,21281,91.52,2,29
2010-12-01,21284,0.019999999999999574,4,-20
2010-12-01,21285,15.950000000000001,3,-14
2010-12-01,21286,32.91,1,7
2010-12-01,21287,53.769999999999996,4,41
2010-12-01,21288,47.25,1,11
2010-12-01,21289,23.75,2,19
2010-12-01,21291,120.5,7,137
2010-12-01,21292,37.4,3,44
2010-12-01,21293,33.68,0,8
2010-12-01,21294,132.53,3,103
2010-12-01,21306,10.92,2,4
2010-12-01,21307,4.2,2,2
2010-12-01,21311,15.96,3,7
2010-12-01,21313,174.23,5,182
2010-12-01,21314,1366.56,23,531
2010-12-01,21316,5.91,0,1
2010-12-01,21317,33.06,0,3
2010-12-01,21318,6.72,0,2
2010-12-01,21319,62.28,1,39
2010-12-01,21324,59.050000000000004,2,-3
2010-12-01,21326,634.44,36,1006
2010-12-01,21327,134.6,11,51
2010-12-01,21328,467.13,15,166
2010-12-01,21329,188.67,14,76
2010-12-01,21331,50.989999999999995,1,3
2010-12-01,21333,76.71000000000001,6,25
2010-12-01,21336,2.95,1,1
2010-12-01,21340,516.17,13,41
2010-12-01,21348,70.06,2,26
2010-12-01,21349,88.1,2,-36
2010-12-01,21351,242.1,7,38
2010-12-01,21352,308.94,7,50
2010-12-01,21354,107.85,9,87
2010-12-01,21355,235.24,19,188
2010-12-01,21356,121.50999999999999,9,71
2010-12-01,21357,15.0,6,58
2010-12-01,21358,83.78,9,64
2010-12-01,21359,34.0,0,1
2010-12-01,21360,61.03,4,5
2010-12-01,21361,503.03,9,35
2010-12-01,21363,299.42,15,47
2010-12-01,21364,74.46000000000001,3,8
2010-12-01,21365,29.520000000000003,1,8
2010-12-01,21366,80.51,1,11
2010-12-01,21367,20.279999999999998,2,5
2010-12-01,21369,11.370000000000001,0,2
2010-12-01,21370,12.7,1,2
2010-12-01,21372,17.72,1,4
2010-12-01,21374,30.240000000000002,1,6
2010-12-01,21375,43.84,2,6
2010-12-01,21376,16.35,2,3
2010-12-01,21377,24.990000000000002,2,11
2010-12-01,21378,9.9,1,6
2010-12-01,21379,18.77,3,13
2010-12-01,21380,224.21000000000004,13,75
2010-12-01,21381,183.25,8,102
2010-12-01,21382,8.850000000000001,1,3
2010-12-01,21383,15.67,4,21
2010-12-01,21385,202.35,12,219
2010-12-01,21386,11.86,1,13
2010-12-01,21389,15.219999999999999,3,16
2010-12-01,21390,200.02,7,158
2010-12-01,21391,31.560000000000002,1,9
2010-12-01,21392,31.5,3,15
2010-12-01,21393,33.6,4,16
2010-12-01,21394,11.7,1,6
2010-12-01,21397,25.08,1,15
2010-12-01,21398,60.97,4,22
2010-12-01,21399,12.600000000000001,3,6
2010-12-01,21400,0.84,1,2
2010-12-01,21401,6.3100000000000005,3,14
2010-12-01,21402,0.85,0,1
2010-12-01,21403,26.11,1,55
2010-12-01,21407,241.68,10,38
2010-12-01,21408,203.4,4,28
2010-12-01,21410,8.47,0,1
2010-12-01,21411,263.17,12,51
2010-12-01,21413,23.839999999999996,1,10
2010-12-01,21414,0.0,0,-22
2010-12-01,21415,16.810000000000002,1,7
2010-12-01,21416,3.75,1,1
2010-12-01,21417,18.939999999999998,1,5
2010-12-01,21418,5.06,0,1
2010-12-01,21420,6.77,0,1
2010-12-01,21421,33.75,3,137
2010-12-01,21422,51.809999999999995,5,60
2010-12-01,21424,14.750000000000004,2,5
2010-12-01,21425,15.629999999999999,1,3
2010-12-01,21426,14.7,2,7
2010-12-01,21427,31.979999999999997,6,11
2010-12-01,21428,319.66,13,76
2010-12-01,21429,562.65,26,214
2010-12-01,21430,623.82,25,154
2010-12-01,21431,0.0,0,-21
2010-12-01,21439,43.8,3,30
2010-12-01,21441,16.919999999999998,3,18
2010-12-01,21442,21.490000000000002,3,28
2010-12-01,21445,20.0,2,16
2010-12-01,21446,31.33,4,17
2010-12-01,21447,28.759999999999998,6,22
2010-12-01,21448,31.47,4,17
2010-12-01,21452,352.19,17,103
2010-12-01,21454,5.02,1,4
2010-12-01,21455,1.66,0,1
2010-12-01,21462,54.0,5,8
2010-12-01,21463,705.35,15,143
2010-12-01,21464,199.75,14,47
2010-12-01,21465,15.120000000000001,2,3
2010-12-01,21466,52.5,6,14
2010-12-01,21467,26.37,5,6
2010-12-01,21468,52.5,4,14
2010-12-01,21469,52.5,4,14
2010-12-01,21470,109.23,7,25
2010-12-01,21471,79.23,6,17
2010-12-01,21472,153.99,8,39
2010-12-01,21473,19.95,1,1
2010-12-01,21479,8228.73,78,2160
2010-12-01,21481,3205.65,75,904
2010-12-01,21484,2395.06,63,566
2010-12-01,21485,3476.39,89,640
2010-12-01,21486,147.88,4,-41
2010-12-01,21488,557.88,2,26
2010-12-01,21491,1.95,0,2
2010-12-01,21494,477.35,10,193
2010-12-01,21495,73.5,6,175
2010-12-01,21497,31.5,3,75
2010-12-01,21498,211.0,12,550
2010-12-01,21499,190.0,9,500
2010-12-01,21500,99.0,8,250
2010-12-01,21503,10.5,1,25
2010-12-01,21504,42.019999999999996,6,98
2010-12-01,21506,181.33,19,440
2010-12-01,21507,82.79,5,203
2010-12-01,21508,52.42,7,118
2010-12-01,21509,66.69,7,153
2010-12-01,21518,20.26,2,46
2010-12-01,21519,62.24,8,140
2010-12-01,21520,24.869999999999997,3,57
2010-12-01,21523,1781.73,29,204
2010-12-01,21524,1338.66,28,153
2010-12-01,21527,1159.45,46,151
2010-12-01,21528,82.74000000000001,6,10
2010-12-01,21530,23.630000000000003,2,5
2010-12-01,21531,280.5,14,124
2010-12-01,21533,449.20000000000005,28,94
2010-12-01,21534,110.25,5,17
2010-12-01,21535,585.0,7,264
2010-12-01,21537,204.88,4,48
2010-12-01,21538,18.75,2,5
2010-12-01,21539,437.85,23,94
2010-12-01,21544,84.97,8,79
2010-12-01,21547,59.03000000000001,3,17
2010-12-01,21555,20.36,1,7
2010-12-01,21556,131.15,6,37
2010-12-01,21557,164.57000000000002,5,47
2010-12-01,21558,603.79,13,240
2010-12-01,21559,497.21999999999997,18,180
2010-12-01,21561,53.510000000000005,4,20
2010-12-01,21562,17.5,3,14
2010-12-01,21563,70.85000000000001,6,19
2010-12-01,21564,73.77000000000001,6,23
2010-12-01,21576,49.49,5,17
2010-12-01,21577,207.53,11,76
2010-12-01,21578,125.99,8,51
2010-12-01,21579,32.06,4,13
2010-12-01,21580,18.0,3,8
2010-12-01,21581,53.989999999999995,7,19
2010-12-01,21584,255.75,21,155
2010-12-01,21586,202.8,15,88
2010-12-01,21587,360.9,17,150
2010-12-01,21588,175.95,13,69
2010-12-01,21591,155.0,16,124
2010-12-01,21592,162.5,17,130
2010-12-01,21594,4.21,0,1
2010-12-01,21595,16.94,0,3
2010-12-01,21609,135.71,11,45
2010-12-01,21613,67.86000000000001,5,22
2010-12-01,21615,107.51,6,69
2010-12-01,21616,65.0,5,26
2010-12-01,21617,97.5,6,42
2010-12-01,21618,45.16,2,21
2010-12-01,21619,118.91,6,80
2010-12-01,21620,104.0,6,66
2010-12-01,21621,590.6800000000001,19,67
2010-12-01,21622,273.36,9,50
2010-12-01,21623,6999.63,25,1062
2010-12-01,21624,148.63,9,21
2010-12-01,21625,296.14,10,34
2010-12-01,21626,40.239999999999995,1,16
2010-12-01,21627,178.95999999999998,3,8
2010-12-01,21628,59.69,1,3
2010-12-01,21629,23.85,2,3
2010-12-01,21630,91.84,3,7
2010-12-01,21631,184.63000000000002,3,39
2010-12-01,21632,176.16000000000003,3,38
2010-12-01,21633,72.81,1,15
2010-12-01,21634,7.529999999999999,0,3
2010-12-01,21635,18.75,2,5
2010-12-01,21638,81.98,4,31
2010-12-01,21640,33.76,6,34
2010-12-01,21641,24.9,0,15
2010-12-01,21642,31.05,4,27
2010-12-01,21643,78.97,3,41
2010-12-01,21644,48.75,7,39
2010-12-01,21647,69.30000000000001,9,33
2010-12-01,21648,327.62,5,108
2010-12-01,21650,42.63999999999999,3,164
2010-12-01,21651,190.32,6,192
2010-12-01,21653,0.0,0,-6
2010-12-01,21654,17.4,2,12
2010-12-01,21656,33.67,2,14
2010-12-01,21657,125.63000000000001,7,17
2010-12-01,21658,537.07,13,121
2010-12-01,21661,0.0,0,1
2010-12-01,21662,338.77000000000004,2,55
2010-12-01,21664,226.47,6,65
2010-12-01,21666,25.060000000000002,3,37
2010-12-01,21668,178.38,12,120
2010-12-01,21669,234.63,14,155
2010-12-01,21670,390.44,12,336
2010-12-01,21671,380.59,14,339
2010-12-01,21672,409.68,13,369
2010-12-01,21673,531.16,15,452
2010-12-01,21675,64.03999999999999,5,68
2010-12-01,21676,30.439999999999998,3,35
2010-12-01,21677,92.13,11,100
2010-12-01,21678,7.609999999999999,2,8
2010-12-01,21679,73.55,6,77
2010-12-01,21680,94.19,6,107
2010-12-01,21682,118.80000000000001,6,24
2010-12-01,21683,115.06000000000002,5,38
2010-12-01,21684,78.92999999999999,4,87
2010-12-01,21686,39.95,1,1
2010-12-01,21688,165.27,6,49
2010-12-01,21689,33.75,2,9
2010-12-01,21690,71.25,4,53
2010-12-01,21692,33.75,4,-61
2010-12-01,21693,162.28000000000003,6,52
2010-12-01,21694,94.41000000000001,4,31
2010-12-01,21695,35.400000000000006,2,12
2010-12-01,21696,100.32000000000002,4,-288
2010-12-01,21698,13.32,1,9
2010-12-01,21700,368.27,10,245
2010-12-01,21703,163.28,9,382
2010-12-01,21704,335.59999999999997,13,416
2010-12-01,21705,86.75999999999999,4,36
2010-12-01,21706,114.24,4,19
2010-12-01,21707,26.52,3,6
2010-12-01,21708,26.52,2,6
2010-12-01,21709,23.16,3,5
2010-12-01,21710,35.19,3,5
2010-12-01,21711,25.02,2,4
2010-12-01,21713,42.04,2,16
2010-12-01,21714,18.82,1,8
2010-12-01,21715,61.08,3,21
2010-12-01,21716,142.23999999999998,3,42
2010-12-01,21717,133.46,3,57
2010-12-01,21718,30.06,1,18
2010-12-01,21719,39.87,8,45
2010-12-01,21720,11.049999999999999,2,13
2010-12-01,21721,66.58999999999999,6,65
2010-12-01,21722,27.08,4,29
2010-12-01,21723,38.98,7,43
2010-12-01,21724,43.15,7,46
2010-12-01,21725,76.99,4,82
2010-12-01,21726,29.589999999999996,5,31
2010-12-01,21730,952.75,23,207
2010-12-01,21731,2703.5099999999998,37,1819
2010-12-01,21733,2113.27,73,729
2010-12-01,21735,454.04999999999995,9,39
2010-12-01,21736,75.60000000000001,1,36
2010-12-01,21738,100.33000000000001,8,31
2010-12-01,21739,85.57000000000001,7,27
2010-12-01,21741,250.84000000000003,8,76
2010-12-01,21742,48.42,3,7
2010-12-01,21743,516.26,15,102
2010-12-01,21744,141.64000000000001,10,44
2010-12-01,21745,134.82999999999998,5,37
2010-12-01,21746,52.58,3,34
2010-12-01,21747,1.25,1,1
2010-12-01,21749,39.94,2,15
2010-12-01,21750,12.63,0,3
2010-12-01,21754,2018.72,53,308
2010-12-01,21755,900.99,36,141
2010-12-01,21756,491.65000000000003,21,77
2010-12-01,21758,38.160000000000004,0,3
2010-12-01,21761,59.9,2,2
2010-12-01,21763,0.0,0,-4
2010-12-01,21769,607.6500000000001,2,11
2010-12-01,21773,130.93,7,167
2010-12-01,21774,138.47,5,130
2010-12-01,21775,40.459999999999994,0,22
2010-12-01,21777,55.65,5,2
2010-12-01,21781,308.65,11,23
2010-12-01,21784,149.25,7,15
2010-12-01,21785,4.21,1,4
2010-12-01,21786,188.03,10,412
2010-12-01,21787,153.62,8,155
2010-12-01,21788,45.86,4,53
2010-12-01,21789,72.09,5,81
2010-12-01,21790,828.09,43,945
