d,revenue,cnt_cus,cnt_pro
2011-02-18,15928.4,49,613
2011-02-20,9578.89,26,595
2011-02-21,23807.83,41,818
2011-02-22,32292.62,52,900
2011-02-23,26792.76,53,862
2011-02-24,22655.83,57,784
2011-02-25,18029.84,44,596
2011-02-27,9491.05,31,566
2011-02-28,21753.68,49,931
2011-03-01,25471.71,52,845
2011-03-02,18296.45,58,550
2011-03-03,35842.62,62,814
2011-03-04,19474.87,38,723
2011-03-06,9596.23,28,520
2011-03-07,30525.58,74,1058
2011-03-08,25017.47,43,888
2011-03-09,21907.12,51,778
2011-03-10,25597.89,69,678
2011-03-11,21995.28,47,615
2011-03-13,4137.62,16,419
2011-03-14,25864.59,49,688
2011-03-15,20660.03,45,728
2011-03-16,21182.64,49,588
2011-03-17,38804.25,74,1081
2011-03-18,16770.460000000003,51,788
2011-03-20,21980.64,57,864
2011-03-21,16370.27,58,637
2011-03-22,31312.35,42,1159
2011-03-23,24029.07,58,793
2011-03-24,36562.1,69,795
2011-03-25,30656.03,51,824
2011-03-27,8979.98,43,515
2011-03-28,19207.03,53,904
2011-03-29,70531.47,51,990
2011-03-30,31489.25,75,902
2011-03-31,31004.08,71,895
2011-04-01,24391.78,68,765
2011-04-03,6878.1,18,526
2011-04-04,25073.02,57,921
2011-04-05,28353.83,54,751
2011-04-06,17279.35,42,756
2011-04-07,18229.0,65,844
2011-04-08,23299.14,72,884
2011-04-10,9363.88,32,637
2011-04-11,22110.31,60,778
2011-04-12,25124.25,63,666
2011-04-13,23898.2,64,675
2011-04-14,35295.58,90,785
2011-04-15,28327.131,40,719
2011-04-17,12704.300000000001,39,620
2011-04-18,32185.61,67,1286
2011-04-19,23837.65,64,991
2011-04-20,28239.39,67,603
2011-04-21,31198.6,69,967
2011-04-26,30585.54,62,933
2011-04-27,25590.56,64,801
2011-04-28,21241.9,60,755
2011-05-01,6964.66,18,361
2011-05-03,19617.86,62,796
2011-05-04,27462.3,62,702
2011-05-05,28750.65,93,917
2011-05-06,35714.58,69,1037
2011-05-08,18808.920000000002,58,742
2011-05-09,26060.43,63,866
2011-05-10,45564.12,74,941
2011-05-11,33240.36,66,848
2011-05-12,59911.97,84,961
2011-05-13,30744.07,52,782
2011-05-15,9924.28,29,575
2011-05-16,25279.77,54,799
2011-05-17,53603.83,81,910
2011-05-18,34337.29,66,729
2011-05-19,34348.75,96,904
2011-05-20,26256.52,71,616
2011-05-22,24205.37,57,881
2011-05-23,30739.55,74,850
2011-05-24,37028.91,76,933
2011-05-25,24152.28,60,715
2011-05-26,33208.590000000004,58,558
2011-05-27,28232.19,63,660
2011-05-29,7208.3,20,443
2011-05-31,21967.96,53,743
2011-06-01,20191.2,55,826
2011-06-02,32502.010000000002,54,879
2011-06-03,16751.0,40,564
2011-06-05,25520.350000000002,62,758
2011-06-06,16791.39,66,748
2011-06-07,37644.3,83,999
2011-06-08,42940.91,75,1051
2011-06-09,45515.75,88,1003
2011-06-10,22540.660000000003,51,670
2011-06-12,12483.86,38,649
2011-06-13,20372.93,72,846
2011-06-14,40211.93,45,880
2011-06-15,46139.18,48,927
2011-06-16,34131.73,82,869
2011-06-17,20800.72,39,586
2011-06-19,22360.010000000002,57,724
2011-06-20,33493.4,64,1009
2011-06-21,22730.01,63,874
2011-06-22,21794.94,57,652
2011-06-23,24273.31,74,971
2011-06-24,8619.88,45,652
2011-06-26,6175.17,30,557
2011-06-27,16823.86,42,724
2011-06-28,34704.64,48,647
2011-06-29,21775.43,44,999
2011-06-30,43834.55,59,944
2011-07-01,13171.82,41,607
2011-07-03,5977.14,24,423
2011-07-04,44154.75,40,1105
2011-07-05,40334.97,67,1156
2011-07-06,26279.58,65,1004
2011-07-07,31357.72,79,1061
2011-07-08,26840.08,52,929
2011-07-10,5692.07,20,604
2011-07-11,22429.53,49,935
2011-07-12,25892.04,52,983
2011-07-13,11612.050000000001,53,948
2011-07-14,32575.96,70,980
2011-07-15,14478.93,41,848
2011-07-17,17174.66,45,750
2011-07-18,28443.27,56,1207
2011-07-19,49316.78,71,860
2011-07-20,27305.41,51,1059
2011-07-21,30957.07,74,917
2011-07-22,20015.23,42,888
2011-07-24,26476.2,55,654
2011-07-25,26687.65,53,1023
2011-07-26,21271.301,57,792
2011-07-27,25568.45,40,784
2011-07-28,55706.88,90,884
2011-07-29,18094.21,60,688
2011-07-31,33486.36,37,789
2011-08-01,21362.84,38,770
2011-08-02,14947.27,53,862
2011-08-03,27075.02,70,871
2011-08-04,61028.65,80,905
2011-08-05,21298.3,51,842
2011-08-07,7464.12,28,409
2011-08-08,19987.15,49,830
2011-08-09,26623.2,51,665
2011-08-10,27474.22,51,833
2011-08-11,72132.79000000001,71,1059
2011-08-12,10049.480000000001,42,717
2011-08-14,5150.18,31,390
2011-08-15,17205.54,48,619
2011-08-16,19103.71,48,674
2011-08-17,49392.22,47,946
2011-08-18,53225.67,83,879
2011-08-19,17248.54,59,562
2011-08-21,14549.210000000001,37,658
2011-08-22,27978.41,60,732
2011-08-23,25756.3,62,823
2011-08-24,37074.9,79,965
2011-08-25,22458.88,80,798
2011-08-26,25550.23,43,628
2011-08-28,10784.78,36,736
2011-08-30,31640.9,28,1310
2011-08-31,16118.0,72,847
2011-09-01,37296.6,72,777
2011-09-02,41745.07,67,1140
2011-09-04,17018.49,46,825
2011-09-05,36844.04,60,897
2011-09-06,28052.62,55,710
2011-09-07,34125.65,45,1094
2011-09-08,26708.0,64,945
2011-09-09,29317.69,68,926
2011-09-11,35465.47,68,1019
2011-09-12,29039.31,80,916
2011-09-13,54828.45,64,1098
2011-09-14,23360.66,68,870
2011-09-15,62943.81,92,1022
2011-09-16,25858.06,50,825
2011-09-18,15692.33,25,830
2011-09-19,46212.21,79,786
2011-09-20,109286.21,56,900
2011-09-21,42944.07,84,1345
2011-09-22,57076.83,111,1219
2011-09-23,39426.48,71,1297
2011-09-25,31210.921000000002,74,982
2011-09-26,28642.271,66,914
2011-09-27,35752.16,84,1029
2011-09-28,43383.04,93,1316
2011-09-29,43464.33,97,1145
2011-09-30,43992.85,70,981
2011-10-02,11623.58,32,863
2011-10-03,64214.78,53,1096
2011-10-04,48240.840000000004,74,1197
2011-10-05,75244.43000000001,82,1121
2011-10-06,55306.28,154,1317
2011-10-07,47538.02,80,1091
2011-10-09,11922.24,35,811
2011-10-10,44265.89,95,1334
2011-10-11,38267.75,78,1241
2011-10-12,29302.85,78,1138
2011-10-13,37067.17,79,1189
2011-10-14,35225.54,63,998
2011-10-16,21605.44,32,800
2011-10-17,47064.14,87,1352
2011-10-18,44637.840000000004,79,1247
2011-10-19,36003.43,87,1198
2011-10-20,60793.14,89,1155
2011-10-21,62961.26,59,810
2011-10-23,12302.41,40,970
2011-10-24,38407.72,84,1360
2011-10-25,40807.49,69,1152
2011-10-26,37842.08,83,1055
2011-10-27,47480.15,113,1154
2011-10-28,39559.47,67,869
2011-10-30,34545.28,88,1214
2011-10-31,48475.45,64,1620
2011-11-01,28741.55,88,911
2011-11-02,45239.06,87,1261
2011-11-03,62816.55,95,1221
2011-11-04,60081.76,105,1290
2011-11-06,42912.4,88,1315
2011-11-07,70001.08,90,1064
2011-11-08,56647.66,122,1487
2011-11-09,62599.43,102,1250
2011-11-10,68956.24,139,1329
2011-11-11,54835.51,91,1536
2011-11-13,33520.22,75,1263
2011-11-14,112141.11,109,1432
2011-11-15,60594.23,98,1475
2011-11-16,64408.7,119,1537
2011-11-17,60329.72,131,1441
2011-11-18,48031.8,129,1274
2011-11-20,34902.01,91,1288
2011-11-21,48302.5,96,1270
2011-11-22,62307.32,129,1527
2011-11-23,78480.7,114,1420
2011-11-24,48080.28,104,1528
2011-11-25,50442.72,71,1390
2011-11-27,20571.5,51,1125
2011-11-28,55442.020000000004,102,1446
2011-11-29,72219.2,116,1560
2011-11-30,59150.98,122,1403
2011-12-01,51410.95,149,1274
2011-12-02,57086.06,100,1335
2011-12-04,24565.78,58,1042
2011-12-05,57751.32,114,1774
2011-12-06,54228.37,128,1439
2011-12-07,75076.22,101,1129
2011-12-08,81417.78,120,1677
2011-12-09,32131.529999999988,38,1084
