d,StockCode,revenue,cnt_cus,cnt_pro,cnt_trans
2010-12-01,21484,94.02,5,20,7
2010-12-01,21485,290.1,8,62,9
2010-12-01,21486,44.93,2,11,4
2010-12-01,21488,28.790000000000003,2,5,4
2010-12-01,21494,25.119999999999997,1,14,2
2010-12-01,21495,10.5,1,25,1
2010-12-01,21497,10.5,1,25,1
2010-12-01,21498,21.0,1,50,2
2010-12-01,21506,25.2,3,60,3
2010-12-01,21507,0.85,0,1,1
2010-12-01,21509,5.04,1,12,1
2010-12-01,21519,10.93,1,25,2
2010-12-01,21520,5.89,1,13,2
2010-12-01,21523,189.18,5,26,6
2010-12-01,21524,38.28,2,4,3
2010-12-01,21533,55.95,2,13,2
2010-12-01,21537,16.94,0,2,1
2010-12-01,21544,11.86,1,13,2
2010-12-01,21547,5.91,0,1,1
2010-12-01,21556,15.3,1,6,1
2010-12-01,21557,11.81,1,3,2
2010-12-01,21559,25.42,1,8,3
2010-12-01,21563,11.82,0,2,1
2010-12-01,21564,11.82,0,2,1
2010-12-01,21576,18.56,1,7,2
2010-12-01,21577,14.62,2,4,3
2010-12-01,21579,13.5,1,6,1
2010-12-01,21584,21.45,2,13,2
2010-12-01,21586,40.8,2,16,2
2010-12-01,21587,56.1,5,22,5
2010-12-01,21588,7.649999999999999,1,3,1
2010-12-01,21591,10.0,2,8,2
2010-12-01,21592,6.25,3,5,4
2010-12-01,21594,4.21,0,1,1
2010-12-01,21609,20.650000000000002,2,7,2
2010-12-01,21620,3.75,1,1,1
2010-12-01,21621,8.5,1,1,1
2010-12-01,21622,89.1,2,18,2
2010-12-01,21624,5.95,0,1,1
2010-12-01,21625,27.8,2,4,2
2010-12-01,21629,7.95,1,1,1
2010-12-01,21634,2.51,0,1,1
2010-12-01,21638,4.21,0,1,1
2010-12-01,21641,1.66,0,1,1
2010-12-01,21643,3.75,1,3,1
2010-12-01,21648,7.529999999999999,0,3,1
2010-12-01,21651,19.8,1,12,2
2010-12-01,21654,8.7,1,6,1
2010-12-01,21656,3.36,0,1,1
2010-12-01,21657,6.95,1,1,1
2010-12-01,21658,20.89,1,3,3
2010-12-01,21662,29.689999999999998,1,3,2
2010-12-01,21664,18.75,2,5,3
2010-12-01,21668,22.5,2,18,2
2010-12-01,21670,7.5,1,6,1
2010-12-01,21671,5.02,0,2,1
2010-12-01,21672,23.75,3,19,3
2010-12-01,21676,5.1,1,6,1
2010-12-01,21678,5.1,1,6,1
2010-12-01,21679,4.98,0,3,1
2010-12-01,21684,2.51,0,1,1
2010-12-01,21688,35.400000000000006,1,12,1
2010-12-01,21690,15.0,1,4,1
2010-12-01,21694,35.400000000000006,1,12,1
2010-12-01,21698,1.66,0,1,1
2010-12-01,21700,8.47,0,1,1
2010-12-01,21703,2.53,1,5,2
2010-12-01,21704,2.51,1,2,2
2010-12-01,21705,38.07,3,21,4
2010-12-01,21706,30.240000000000002,1,4,3
2010-12-01,21708,9.9,1,2,2
2010-12-01,21709,4.95,1,1,1
2010-12-01,21710,4.95,1,1,1
2010-12-01,21711,4.95,1,1,1
2010-12-01,21715,20.4,1,8,1
2010-12-01,21716,25.459999999999997,1,9,2
2010-12-01,21718,17.509999999999998,1,13,2
2010-12-01,21721,1.66,0,1,1
2010-12-01,21722,1.66,0,1,1
2010-12-01,21724,10.2,1,12,1
2010-12-01,21730,127.5,1,30,5
2010-12-01,21731,634.41,6,483,8
2010-12-01,21733,216.3,4,82,4
2010-12-01,21738,26.55,2,9,4
2010-12-01,21739,8.850000000000001,2,3,2
2010-12-01,21742,18.67,1,2,2
2010-12-01,21743,47.21000000000001,3,15,4
2010-12-01,21744,5.9,1,2,1
2010-12-01,21745,8.47,0,1,1
2010-12-01,21754,136.82000000000002,5,22,6
2010-12-01,21755,101.12,4,16,5
2010-12-01,21756,89.22,4,14,5
2010-12-01,21758,12.72,0,1,1
2010-12-01,21761,29.95,1,1,1
2010-12-01,21773,10.04,0,4,2
2010-12-01,21774,17.57,0,7,2
2010-12-01,21775,7.529999999999999,0,3,1
2010-12-01,21777,71.55,3,-1,5
2010-12-01,21781,29.9,1,2,1
2010-12-01,21786,65.50999999999999,2,179,4
2010-12-01,21787,3.32,0,2,1
2010-12-01,21789,4.17,1,3,2
2010-12-01,21790,46.19,3,41,5
2010-12-01,21791,57.53,4,43,6
2010-12-01,21794,6.75,1,1,1
2010-12-01,21801,8.6,0,20,2
2010-12-01,21802,11.18,0,26,2
2010-12-01,21803,9.89,0,23,2
2010-12-01,21804,15.0,2,4,2
2010-12-01,21808,3.75,1,1,1
2010-12-01,21809,7.52,1,4,4
2010-12-01,21810,28.78,3,20,5
2010-12-01,21811,21.259999999999998,3,16,4
2010-12-01,21813,15.120000000000001,1,2,2
2010-12-01,21814,14.5,1,10,2
2010-12-01,21815,7.25,1,5,2
2010-12-01,21816,2.9,1,2,1
2010-12-01,21817,11.049999999999999,2,13,2
2010-12-01,21818,31.450000000000003,2,37,2
2010-12-01,21820,7.62,0,1,1
2010-12-01,21821,15.24,0,2,2
2010-12-01,21822,4.21,0,1,1
2010-12-01,21823,16.11,2,9,3
2010-12-01,21824,4.35,1,3,1
2010-12-01,21826,2.5,1,2,1
2010-12-01,21830,0.85,0,1,1
2010-12-01,21832,49.68,2,27,3
2010-12-01,21833,27.0,1,14,2
2010-12-01,21843,21.9,2,2,2
2010-12-01,21844,35.43000000000001,1,9,3
2010-12-01,21846,16.84,0,4,1
2010-12-01,21850,4.95,1,1,1
2010-12-01,21851,16.84,0,4,2
2010-12-01,21864,121.68,1,72,1
2010-12-01,21866,2.5,1,2,2
2010-12-01,21867,2.5,2,2,2
2010-12-01,21868,6.72,0,2,1
2010-12-01,21870,33.36,1,25,2
2010-12-01,21871,53.57,2,33,7
2010-12-01,21873,30.0,1,24,1
2010-12-01,21874,33.36,1,25,2
2010-12-01,21875,3.36,0,1,1
2010-12-01,21877,1.25,1,1,1
2010-12-01,21879,3.32,0,2,2
2010-12-01,21880,6.5,1,10,1
2010-12-01,21883,15.6,1,24,1
2010-12-01,21884,1.66,0,1,1
2010-12-01,21888,11.370000000000001,1,2,2
2010-12-01,21889,70.03999999999999,3,52,5
2010-12-01,21890,26.550000000000004,3,9,3
2010-12-01,21891,57.54,4,42,5
2010-12-01,21892,25.04,1,16,3
2010-12-01,21894,6.26,1,4,2
2010-12-01,21895,4.25,1,1,1
2010-12-01,21896,4.21,0,1,1
2010-12-01,21899,1.66,0,1,1
2010-12-01,21906,13.57,0,1,1
2010-12-01,21907,4.2,1,2,1
2010-12-01,21908,4.21,0,1,1
2010-12-01,21911,3.36,0,1,1
2010-12-01,21912,52.86,1,11,2
2010-12-01,21913,52.62,1,13,2
2010-12-01,21914,27.549999999999997,1,17,3
2010-12-01,21915,132.55,3,101,5
2010-12-01,21916,2.1,2,5,2
2010-12-01,21917,0.42,1,1,1
2010-12-01,21922,49.86,1,4,2
2010-12-01,21928,43.21,1,21,2
2010-12-01,21929,62.71,2,31,3
2010-12-01,21930,40.95,2,21,2
2010-12-01,21931,107.55999999999999,4,54,5
2010-12-01,21934,19.86,1,11,2
2010-12-01,21935,16.68,1,7,3
2010-12-01,21942,6.64,0,4,2
2010-12-01,21944,1.66,0,1,1
2010-12-01,21949,7.529999999999999,0,3,2
2010-12-01,21955,7.95,1,1,1
2010-12-01,21967,14.209999999999997,1,49,2
2010-12-01,21974,14.9,0,5,1
2010-12-01,21975,41.76,2,60,4
2010-12-01,21976,2.38,1,3,2
2010-12-01,21977,83.16,6,122,8
2010-12-01,21980,17.689999999999998,5,61,5
2010-12-01,21981,14.769999999999998,1,49,2
2010-12-01,21982,23.429999999999996,2,75,4
2010-12-01,21983,6.959999999999999,2,24,2
2010-12-01,21984,7.809999999999999,2,25,3
2010-12-01,21985,5.779999999999999,3,18,4
2010-12-01,21986,10.439999999999998,2,36,2
2010-12-01,21990,10.04,0,4,2
2010-12-01,21991,7.529999999999999,0,3,2
2010-12-01,21992,59.05,2,23,5
2010-12-01,21993,25.1,0,10,2
2010-12-01,22024,5.04,1,12,1
2010-12-01,22025,5.04,1,12,1
2010-12-01,22030,5.04,1,12,1
2010-12-01,22037,0.85,0,1,1
2010-12-01,22041,474.6,4,220,4
2010-12-01,22043,0.43,0,1,1
2010-12-01,22049,10.5,1,25,1
2010-12-01,22059,60.0,1,48,1
2010-12-01,22064,29.880000000000003,1,15,3
2010-12-01,22065,24.119999999999997,1,14,3
2010-12-01,22067,3.36,0,1,1
2010-12-01,22068,6.66,1,3,2
2010-12-01,22069,3.36,0,1,1
2010-12-01,22071,7.62,0,1,1
2010-12-01,22074,1.65,1,1,1
2010-12-01,22075,5.01,1,2,2
2010-12-01,22076,3.36,0,1,1
2010-12-01,22077,43.5,3,16,7
2010-12-01,22078,4.21,0,1,1
2010-12-01,22080,3.36,0,1,1
2010-12-01,22081,11.73,1,4,3
2010-12-01,22082,41.67,3,18,5
2010-12-01,22083,38.41,1,7,3
2010-12-01,22084,5.91,0,1,1
2010-12-01,22086,891.1,10,274,12
2010-12-01,22087,14.77,1,3,2
2010-12-01,22088,2.95,1,1,1
2010-12-01,22090,11.82,0,2,2
2010-12-01,22091,5.02,0,2,1
2010-12-01,22092,16.25,2,13,2
2010-12-01,22094,15.0,1,12,1
2010-12-01,22095,425.02,2,338,4
2010-12-01,22096,1.25,1,1,1
2010-12-01,22097,2.5,1,2,2
2010-12-01,22098,1.25,1,1,1
2010-12-01,22099,2.5,1,2,1
2010-12-01,22100,8.77,2,5,4
2010-12-01,22107,22.62,2,5,3
2010-12-01,22109,18.990000000000002,1,3,2
2010-12-01,22110,33.09,2,9,3
2010-12-01,22111,267.95,8,48,12
2010-12-01,22112,154.1,6,25,9
2010-12-01,22113,227.04000000000002,7,64,7
2010-12-01,22114,374.42,9,94,13
2010-12-01,22115,29.520000000000003,1,8,2
2010-12-01,22117,8.86,1,2,2
2010-12-01,22118,14.85,1,3,1
2010-12-01,22119,48.650000000000006,3,7,3
2010-12-01,22120,9.95,1,1,1
2010-12-01,22121,89.22,5,14,6
2010-12-01,22124,5.02,0,2,1
2010-12-01,22127,15.0,1,12,1
2010-12-01,22128,22.5,2,18,2
2010-12-01,22130,42.44,3,32,4
2010-12-01,22134,4.25,0,5,2
2010-12-01,22135,8.07,1,10,3
2010-12-01,22136,1.65,1,1,1
2010-12-01,22139,97.75,1,79,2
2010-12-01,22141,37.879999999999995,1,10,4
2010-12-01,22142,6.26,1,3,2
2010-12-01,22144,42.06,3,14,7
2010-12-01,22145,0.0,0,1,1
2010-12-01,22147,79.92,3,58,4
2010-12-01,22149,39.93,4,16,6
2010-12-01,22150,37.05,3,19,3
2010-12-01,22151,7.14,2,17,3
2010-12-01,22152,15.120000000000001,2,36,2
2010-12-01,22153,3.37,1,7,2
2010-12-01,22154,0.85,0,1,1
2010-12-01,22155,2.55,0,3,1
2010-12-01,22156,4.98,0,3,1
2010-12-01,22161,13.770000000000001,0,17,2
2010-12-01,22162,16.8,0,5,2
2010-12-01,22164,17.700000000000003,1,6,1
2010-12-01,22165,49.269999999999996,0,4,2
2010-12-01,22168,0.0,2,0,2
2010-12-01,22169,33.96,0,2,2
2010-12-01,22171,25.5,2,3,2
2010-12-01,22173,79.65,4,27,4
2010-12-01,22174,99.50999999999999,2,58,4
2010-12-01,22176,2.95,1,1,1
2010-12-01,22178,112.71,2,69,4
2010-12-01,22179,13.5,1,2,1
2010-12-01,22180,79.6,1,8,1
2010-12-01,22182,8.42,0,2,2
2010-12-01,22183,59.07,2,9,3
2010-12-01,22184,8.47,0,1,1
2010-12-01,22185,9.959999999999999,1,5,2
2010-12-01,22186,14.75,1,5,1
2010-12-01,22187,34.0,2,8,2
2010-12-01,22188,170.58,2,46,3
2010-12-01,22189,268.35,2,77,3
2010-12-01,22190,15.059999999999999,0,6,2
2010-12-01,22191,51.0,2,6,2
2010-12-01,22192,51.0,2,6,2
2010-12-01,22193,51.0,2,6,2
2010-12-01,22194,17.0,1,2,1
2010-12-01,22195,64.65,2,34,4
2010-12-01,22196,23.72,1,26,2
2010-12-01,22197,246.51,8,271,11
2010-12-01,22198,173.51,3,105,5
2010-12-01,22203,7.62,0,1,1
2010-12-01,22207,16.94,0,2,2
2010-12-01,22208,3.36,0,1,1
2010-12-01,22212,2.1,1,1,1
2010-12-01,22217,15.0,1,12,1
2010-12-01,22219,35.58,3,39,4
2010-12-01,22220,9.95,1,1,1
2010-12-01,22222,29.7,2,6,2
2010-12-01,22224,23.610000000000003,1,7,2
2010-12-01,22227,15.6,1,24,1
2010-12-01,22241,2.5,1,2,1
2010-12-01,22242,39.6,4,24,4
2010-12-01,22243,36.3,2,22,4
2010-12-01,22244,15.599999999999998,2,8,2
2010-12-01,22245,1.6199999999999999,1,0,2
2010-12-01,22246,8.42,0,2,1
2010-12-01,22260,7.57,1,7,2
2010-12-01,22261,4.17,1,3,2
2010-12-01,22262,5.83,1,4,2
2010-12-01,22265,2.56,0,2,1
2010-12-01,22271,5.9,1,2,1
2010-12-01,22273,11.8,1,4,3
2010-12-01,22274,23.6,2,8,2
2010-12-01,22276,17.73,0,3,2
2010-12-01,22277,84.02000000000001,1,38,2
2010-12-01,22278,15.969999999999999,1,2,2
2010-12-01,22283,16.13,0,1,1
2010-12-01,22294,138.82,3,104,6
2010-12-01,22295,1.65,1,1,1
2010-12-01,22296,42.96,1,25,2
2010-12-01,22297,33.76,2,26,3
2010-12-01,22299,2.51,0,1,1
2010-12-01,22300,15.18,0,3,2
2010-12-01,22301,20.24,0,4,2
2010-12-01,22304,5.06,0,1,1
2010-12-01,22308,5.06,0,1,1
2010-12-01,22309,10.12,0,2,2
2010-12-01,22310,53.4,2,22,5
2010-12-01,22311,29.520000000000003,1,8,2
2010-12-01,22312,8.86,1,2,2
2010-12-01,22313,17.700000000000003,1,6,1
2010-12-01,22314,29.520000000000003,1,8,3
2010-12-01,22315,15.0,1,12,1
2010-12-01,22317,11.82,0,2,1
2010-12-01,22318,41.31,2,13,3
2010-12-01,22321,11.049999999999999,2,13,2
2010-12-01,22324,4.21,0,1,1
2010-12-01,22325,11.87,0,1,1
2010-12-01,22326,103.25000000000001,4,35,4
2010-12-01,22327,5.9,1,2,2
2010-12-01,22328,2.95,1,1,1
2010-12-01,22331,3.36,0,1,1
2010-12-01,22333,13.2,3,8,3
2010-12-01,22335,5.12,0,4,1
2010-12-01,22336,20.72,1,28,2
2010-12-01,22338,16.9,2,26,2
2010-12-01,22342,3.36,0,1,1
2010-12-01,22345,1.66,0,1,1
2010-12-01,22348,8.3,0,5,2
2010-12-01,22349,45.0,1,12,1
2010-12-01,22350,10.12,0,2,1
2010-12-01,22352,20.36,1,7,2
2010-12-01,22355,57.6,3,63,5
2010-12-01,22356,24.9,0,15,2
2010-12-01,22357,29.72,2,6,3
2010-12-01,22358,17.700000000000003,1,6,1
2010-12-01,22359,11.82,0,2,1
2010-12-01,22360,17.72,1,4,2
2010-12-01,22361,11.82,0,2,1
2010-12-01,22364,8.86,1,2,2
2010-12-01,22366,83.4,2,12,2
2010-12-01,22367,10.059999999999999,1,4,2
2010-12-01,22371,50.88,1,8,3
2010-12-01,22372,4.25,1,1,1
2010-12-01,22375,16.94,0,2,1
2010-12-01,22376,29.660000000000004,1,4,3
2010-12-01,22378,10.52,1,3,2
2010-12-01,22379,92.44,4,40,6
2010-12-01,22380,4.21,0,1,1
2010-12-01,22381,96.71,1,51,2
2010-12-01,22382,24.75,3,15,3
2010-12-01,22383,58.660000000000004,3,34,4
2010-12-01,22384,11.72,2,4,3
2010-12-01,22386,94.53,4,45,5
2010-12-01,22393,5.06,0,1,1
2010-12-01,22394,5.06,0,1,1
2010-12-01,22396,5.02,0,2,2
2010-12-01,22399,15.0,1,12,1
2010-12-01,22400,15.0,1,12,1
2010-12-01,22402,15.0,1,12,1
2010-12-01,22405,2.51,0,1,1
2010-12-01,22409,2.51,0,1,1
2010-12-01,22411,160.52,7,80,9
2010-12-01,22413,17.71,1,5,2
2010-12-01,22417,13.2,1,24,1
2010-12-01,22418,124.05999999999999,3,145,4
2010-12-01,22419,9.35,0,11,2
2010-12-01,22420,1.7,0,2,1
2010-12-01,22421,7.59,1,15,2
2010-12-01,22422,5.12,0,4,2
2010-12-01,22423,1434.8400000000001,8,115,10
2010-12-01,22424,87.6,1,8,1
2010-12-01,22425,10.17,0,1,1
2010-12-01,22427,29.72,1,4,2
2010-12-01,22428,83.93,4,11,5
2010-12-01,22429,4.25,1,1,1
2010-12-01,22430,10.17,0,1,1
2010-12-01,22432,4.21,0,1,1
2010-12-01,22435,2.5,1,2,1
2010-12-01,22437,1.66,0,1,1
2010-12-01,22438,1.95,1,1,1
2010-12-01,22441,6.300000000000001,3,3,3
2010-12-01,22444,134.27,2,121,3
2010-12-01,22445,11.8,1,4,1
2010-12-01,22446,10.05,0,3,1
2010-12-01,22447,10.05,0,3,1
2010-12-01,22448,10.05,0,3,1
2010-12-01,22449,70.42,4,20,5
2010-12-01,22451,53.81,3,13,5
2010-12-01,22453,2.95,1,1,1
2010-12-01,22454,8.850000000000001,1,3,2
2010-12-01,22457,129.86,4,38,5
2010-12-01,22458,5.06,0,1,1
2010-12-01,22459,5.06,0,1,1
2010-12-01,22464,39.6,2,24,2
2010-12-01,22465,19.8,1,12,1
2010-12-01,22466,684.9,4,462,4
2010-12-01,22467,25.459999999999997,1,9,3
