m,CustomerID,revenue,cnt_cus,cnt_pro
2010-12-01,12839,737.45,29,438
2010-12-01,12841,505.99,43,321
2010-12-01,12855,38.1,3,30
2010-12-01,12865,-20.16,1,-48
2010-12-01,12867,354.54,56,372
2010-12-01,12868,203.3,12,112
2010-12-01,12870,-14.899999999999999,2,-2
2010-12-01,12872,378.53000000000003,38,203
2010-12-01,12875,293.76000000000005,1,1728
2010-12-01,12877,150.06,14,170
2010-12-01,12913,417.62,4,146
2010-12-01,12915,199.65,13,41
2010-12-01,12921,687.8000000000001,35,380
2010-12-01,12928,392.34000000000003,17,250
2010-12-01,12931,177.0,2,220
2010-12-01,12942,258.75,16,69
2010-12-01,12944,286.95,14,145
2010-12-01,12947,274.19,17,181
2010-12-01,12963,365.8,16,172
2010-12-01,12967,1660.9,19,438
2010-12-01,12971,396.69,24,284
2010-12-01,12980,819.57,3,85
2010-12-01,12989,202.5,1,30
2010-12-01,13000,201.75,11,77
2010-12-01,13004,357.01,23,255
2010-12-01,13008,-51.0,1,-60
2010-12-01,13011,50.550000000000004,3,13
2010-12-01,13013,1528.34,64,802
2010-12-01,13021,137.07,8,45
2010-12-01,13027,1440.0,6,3600
2010-12-01,13029,382.5,1,30
2010-12-01,13030,427.74,50,204
2010-12-01,13033,190.55,11,83
2010-12-01,13034,165.86,11,116
2010-12-01,13047,366.63,17,101
2010-12-01,13050,1180.07,62,741
2010-12-01,13065,205.86,14,74
2010-12-01,13069,644.12,77,747
2010-12-01,13077,313.72,14,303
2010-12-01,13078,873.26,27,284
2010-12-01,13081,2366.78,74,1346
2010-12-01,13089,5833.21,69,2459
2010-12-01,13090,1008.4,7,197
2010-12-01,13092,185.45000000000002,7,31
2010-12-01,13093,3795.5099999999998,43,1559
2010-12-01,13094,223.68,3,192
2010-12-01,13097,304.90000000000003,11,90
2010-12-01,13102,673.92,22,362
2010-12-01,13104,101.76,1,96
2010-12-01,13108,350.06,10,298
2010-12-01,13113,341.12,12,101
2010-12-01,13115,-5.0,1,-4
2010-12-01,13117,388.15,26,215
2010-12-01,13124,1256.32,61,930
2010-12-01,13126,223.44,13,120
2010-12-01,13136,-20.1,3,-4
2010-12-01,13138,193.23,14,125
2010-12-01,13140,159.51,15,75
2010-12-01,13145,295.0,1,1
2010-12-01,13148,267.35,24,121
2010-12-01,13155,379.7,51,168
2010-12-01,13165,354.64,13,496
2010-12-01,13173,165.94,23,114
2010-12-01,13174,1415.97,122,700
2010-12-01,13178,710.0,32,388
2010-12-01,13198,373.6,24,269
2010-12-01,13199,711.8000000000001,10,668
2010-12-01,13209,304.85,13,115
2010-12-01,13211,110.7,2,46
2010-12-01,13221,498.16,35,153
2010-12-01,13225,1206.72,4,864
2010-12-01,13230,93.45,13,33
2010-12-01,13238,91.15,5,33
2010-12-01,13240,224.07,21,131
2010-12-01,13255,225.7,6,110
2010-12-01,13266,-45.0,1,-36
2010-12-01,13267,543.7,25,241
2010-12-01,13269,662.1700000000001,26,427
2010-12-01,13270,590.0,1,200
2010-12-01,13295,197.95000000000002,11,81
2010-12-01,13304,300.42,21,238
2010-12-01,13305,136.2,5,132
2010-12-01,13317,238.05,14,93
2010-12-01,13319,1500.98,59,614
2010-12-01,13324,650.1,5,210
2010-12-01,13327,745.0,21,276
2010-12-01,13329,255.59999999999997,7,139
2010-12-01,13369,263.75,14,127
2010-12-01,13370,721.32,39,336
2010-12-01,13402,308.28000000000003,17,190
2010-12-01,13408,3001.85,37,1745
2010-12-01,13418,1579.6200000000001,40,614
2010-12-01,13426,336.98,9,142
2010-12-01,13448,788.5400000000001,31,316
2010-12-01,13455,692.94,30,190
2010-12-01,13458,1169.3600000000001,30,496
2010-12-01,13468,911.0,46,314
2010-12-01,13481,-4.25,1,-1
2010-12-01,13487,193.15,11,85
2010-12-01,13488,1381.92,45,516
2010-12-01,13491,196.4,10,54
2010-12-01,13495,810.6800000000001,18,362
2010-12-01,13496,465.61,26,217
2010-12-01,13497,126.5,9,50
2010-12-01,13506,301.12,17,232
2010-12-01,13520,303.4,6,110
2010-12-01,13523,566.95,30,365
2010-12-01,13531,305.45,15,103
2010-12-01,13534,251.85,11,123
2010-12-01,13564,1198.38,67,660
2010-12-01,13569,118.32,23,44
2010-12-01,13576,349.15000000000003,11,108
2010-12-01,13579,164.7,9,46
2010-12-01,13599,341.7,18,241
2010-12-01,13611,303.15000000000003,15,183
2010-12-01,13627,311.19,20,197
2010-12-01,13649,197.8,15,67
2010-12-01,13652,308.8,18,112
2010-12-01,13668,177.66,14,66
2010-12-01,13694,2885.04,46,3844
2010-12-01,13705,318.14,10,103
2010-12-01,13715,476.23,44,225
2010-12-01,13747,79.6,1,8
2010-12-01,13748,204.0,1,80
2010-12-01,13756,1004.4000000000001,11,444
2010-12-01,13758,718.85,20,401
2010-12-01,13767,2437.26,28,1027
2010-12-01,13769,320.6,10,120
2010-12-01,13777,6919.780000000001,23,3598
2010-12-01,13786,230.4,7,136
2010-12-01,13787,106.4,7,56
2010-12-01,13798,3743.7,50,2328
2010-12-01,13802,-117.45,2,-11
2010-12-01,13807,112.6,7,36
2010-12-01,13817,128.7,9,63
2010-12-01,13829,-102.0,1,-12
2010-12-01,13831,408.0,2,160
2010-12-01,13838,238.11,48,83
2010-12-01,13842,310.57,20,163
2010-12-01,13846,411.40000000000003,28,234
2010-12-01,13848,320.0,1,1000
2010-12-01,13854,579.74,11,274
2010-12-01,13869,323.62,21,156
2010-12-01,13874,540.45,18,180
2010-12-01,13880,97.8,6,54
2010-12-01,13890,190.35000000000002,11,93
2010-12-01,13922,172.25,7,93
2010-12-01,13941,1019.52,11,608
2010-12-01,13948,102.0,3,40
2010-12-01,13953,500.0,1,400
2010-12-01,13958,-102.45,5,-23
2010-12-01,13959,214.74,16,118
2010-12-01,13963,151.3,7,54
2010-12-01,13969,317.59000000000003,25,133
2010-12-01,13982,428.6,23,208
2010-12-01,13983,329.36,15,220
2010-12-01,13984,154.8,5,120
2010-12-01,13999,302.1,17,265
2010-12-01,14001,301.24,9,94
2010-12-01,14016,753.74,39,374
2010-12-01,14030,676.5,27,97
2010-12-01,14031,2567.0,28,988
2010-12-01,14032,610.27,21,384
2010-12-01,14037,111.8,26,34
2010-12-01,14045,326.4,1,128
2010-12-01,14047,277.62,12,106
2010-12-01,14051,1828.16,23,592
2010-12-01,14057,925.92,47,971
2010-12-01,14060,874.04,14,868
2010-12-01,14062,1444.12,25,842
2010-12-01,14078,136.24,13,29
2010-12-01,14081,423.52,67,252
2010-12-01,14082,182.25,28,110
2010-12-01,14083,459.89,87,244
2010-12-01,14085,1177.49,73,500
2010-12-01,14092,595.83,36,243
2010-12-01,14099,383.52,40,411
2010-12-01,14107,348.49,16,263
2010-12-01,14113,408.25,4,95
2010-12-01,14119,-19.9,1,-2
2010-12-01,14135,947.0500000000001,38,857
2010-12-01,14142,311.81,22,313
2010-12-01,14146,1241.43,35,551
2010-12-01,14150,306.18,12,262
2010-12-01,14156,314.7,5,1546
2010-12-01,14159,193.22,50,114
2010-12-01,14161,283.15,26,128
2010-12-01,14176,156.65,9,59
2010-12-01,14180,896.25,38,147
2010-12-01,14189,311.24,9,254
2010-12-01,14201,67.24,4,132
2010-12-01,14205,-238.20000000000002,14,-104
2010-12-01,14206,-19.9,1,-2
2010-12-01,14210,304.95000000000005,15,93
2010-12-01,14213,-1192.2,5,-244
2010-12-01,14215,166.0,6,104
2010-12-01,14217,101.35,7,25
2010-12-01,14220,312.98,11,134
2010-12-01,14236,189.3,3,38
2010-12-01,14237,161.0,9,38
2010-12-01,14243,472.00000000000006,18,170
2010-12-01,14256,523.86,32,302
2010-12-01,14264,-14.5,2,-4
2010-12-01,14282,571.0,13,300
2010-12-01,14290,777.5600000000001,23,220
2010-12-01,14293,364.92,15,172
2010-12-01,14298,4689.46,123,4976
2010-12-01,14299,-20.609999999999957,6,49
2010-12-01,14307,783.11,48,558
2010-12-01,14309,147.75,6,103
2010-12-01,14334,320.15,20,225
2010-12-01,14344,355.65000000000003,14,127
2010-12-01,14355,174.4,11,92
2010-12-01,14373,76.55,4,17
2010-12-01,14388,299.35,21,167
2010-12-01,14390,217.75,27,73
2010-12-01,14395,308.68,27,174
2010-12-01,14396,110.35000000000001,34,39
2010-12-01,14401,247.38,15,370
2010-12-01,14404,133.48,25,57
2010-12-01,14409,177.60000000000002,1,96
2010-12-01,14413,122.7,22,68
2010-12-01,14414,217.2,8,146
2010-12-01,14415,862.28,81,461
2010-12-01,14419,124.1,20,55
2010-12-01,14426,-11.2,2,-2
2010-12-01,14437,63.0,5,60
2010-12-01,14440,656.7,13,150
2010-12-01,14441,-8.5,1,-1
2010-12-01,14443,287.93,23,159
2010-12-01,14448,102.35000000000001,18,44
2010-12-01,14449,210.24,50,142
2010-12-01,14466,379.75,10,137
2010-12-01,14472,279.88,29,102
2010-12-01,14479,174.4,10,58
2010-12-01,14487,112.35000000000001,13,36
2010-12-01,14491,127.2,4,40
2010-12-01,14496,304.34000000000003,5,86
2010-12-01,14498,166.22,13,70
2010-12-01,14505,1050.35,126,511
2010-12-01,14506,269.7,43,112
2010-12-01,14524,275.45,26,137
2010-12-01,14525,462.3,19,312
2010-12-01,14527,827.89,82,179
2010-12-01,14532,222.6,14,28
2010-12-01,14533,433.5,10,540
2010-12-01,14543,254.4,5,40
2010-12-01,14544,1121.92,53,843
2010-12-01,14560,398.21999999999997,14,68
2010-12-01,14565,1167.41,54,640
2010-12-01,14573,413.1,68,134
2010-12-01,14576,35.400000000000006,1,12
2010-12-01,14577,346.90000000000003,34,131
2010-12-01,14589,39.75,3,5
2010-12-01,14594,255.0,31,146
2010-12-01,14606,1225.76,184,471
2010-12-01,14608,204.0,1,48
2010-12-01,14618,-14.85,1,-3
2010-12-01,14621,305.7,16,130
2010-12-01,14625,547.88,36,252
2010-12-01,14639,665.59,41,271
2010-12-01,14643,332.74,15,326
2010-12-01,14646,8591.88,69,6714
2010-12-01,14667,1998.1000000000001,130,1426
2010-12-01,14673,373.49,15,213
2010-12-01,14679,-2.55,1,-1
2010-12-01,14680,2835.2,27,926
2010-12-01,14684,168.35999999999999,44,70
2010-12-01,14688,444.98,19,454
2010-12-01,14696,293.37,18,283
2010-12-01,14702,318.7,29,167
2010-12-01,14708,389.36,12,344
2010-12-01,14709,314.1,15,108
2010-12-01,14713,425.85,37,202
2010-12-01,14723,471.0,68,206
2010-12-01,14729,313.49,69,197
2010-12-01,14733,4357.22,55,1884
2010-12-01,14735,252.20000000000002,5,68
2010-12-01,14737,434.0,8,150
2010-12-01,14739,713.88,12,476
2010-12-01,14741,495.3,13,410
2010-12-01,14744,225.0,3,148
2010-12-01,14748,470.42,32,330
2010-12-01,14766,130.1,7,38
2010-12-01,14769,336.86,22,186
2010-12-01,14775,406.56,20,384
2010-12-01,14777,-14.5,2,-8
2010-12-01,14796,962.52,70,638
2010-12-01,14800,1219.85,79,1072
2010-12-01,14810,180.44,22,84
2010-12-01,14813,155.43,25,67
2010-12-01,14821,48.800000000000004,2,20
2010-12-01,14825,396.43,17,141
2010-12-01,14829,332.43,27,252
2010-12-01,14841,395.16,19,274
2010-12-01,14849,566.89,23,306
2010-12-01,14850,-47.6,1,-8
2010-12-01,14865,37.2,3,96
2010-12-01,14866,103.68,1,144
2010-12-01,14867,-8.95,1,-1
2010-12-01,14871,140.4,21,38
2010-12-01,14878,322.01,13,135
2010-12-01,14896,257.22,32,184
2010-12-01,14898,23.299999999999997,4,6
2010-12-01,14901,490.75,31,204
2010-12-01,14907,959.44,42,363
2010-12-01,14911,6757.13,241,2938
2010-12-01,14913,300.87,17,423
2010-12-01,14932,363.53,17,80
2010-12-01,14944,-39.6,1,-8
2010-12-01,14952,583.1600000000001,9,436
2010-12-01,14961,1182.7,38,566
2010-12-01,14985,124.51,45,89
2010-12-01,14987,163.2,2,64
2010-12-01,15002,631.65,30,279
2010-12-01,15005,470.40999999999997,65,266
2010-12-01,15012,191.06,46,86
2010-12-01,15018,111.25,5,21
2010-12-01,15021,189.64000000000001,46,80
2010-12-01,15023,460.6,32,232
2010-12-01,15024,491.22,47,259
2010-12-01,15028,185.97,14,119
2010-12-01,15032,2770.6,28,1658
2010-12-01,15034,842.9,38,454
2010-12-01,15038,126.42999999999999,30,46
2010-12-01,15039,1317.76,92,491
2010-12-01,15044,2124.4,83,654
2010-12-01,15048,98.7,23,32
2010-12-01,15061,19950.66,53,9171
2010-12-01,15062,209.08,11,164
2010-12-01,15070,106.2,1,36
2010-12-01,15078,807.9000000000001,29,358
2010-12-01,15079,141.95,4,45
2010-12-01,15081,111.15,8,57
2010-12-01,15093,444.58000000000004,18,862
2010-12-01,15100,492.75,1,45
2010-12-01,15101,102.28,4,34
2010-12-01,15107,113.71000000000001,8,62
2010-12-01,15111,288.5,16,106
2010-12-01,15157,1055.22,54,1006
2010-12-01,15159,1860.98,48,988
2010-12-01,15160,158.16,4,84
2010-12-01,15165,487.75,27,160
2010-12-01,15179,-16.5,1,-30
2010-12-01,15180,87.5,6,36
2010-12-01,15181,-9.2,2,-2
2010-12-01,15192,315.0,15,196
2010-12-01,15194,1512.5900000000001,69,1250
2010-12-01,15197,556.5,3,78
2010-12-01,15204,316.58,9,258
2010-12-01,15208,65.4,3,20
2010-12-01,15211,383.07,23,117
2010-12-01,15221,114.1,9,25
2010-12-01,15224,310.48,13,150
2010-12-01,15235,694.64,42,392
2010-12-01,15240,-5.45,3,-3
2010-12-01,15246,186.0,12,86
2010-12-01,15260,420.5,17,254
2010-12-01,15271,111.75,24,78
2010-12-01,15279,277.41,21,185
2010-12-01,15288,165.65,26,66
2010-12-01,15290,219.6,8,168
2010-12-01,15291,648.9,6,158
2010-12-01,15298,397.6,17,286
2010-12-01,15299,1835.01,3,2097
2010-12-01,15301,673.37,34,503
2010-12-01,15304,123.15,5,21
2010-12-01,15311,2609.21,131,1145
2010-12-01,15312,285.99,16,174
2010-12-01,15329,-17.7,3,-6
2010-12-01,15332,1661.06,29,652
2010-12-01,15347,201.60000000000002,5,130
2010-12-01,15350,115.65,5,51
2010-12-01,15351,261.28,51,122
2010-12-01,15353,311.65,12,131
2010-12-01,15356,365.54,73,201
2010-12-01,15358,619.9,42,475
2010-12-01,15361,418.92,7,336
2010-12-01,15363,326.0,16,144
2010-12-01,15366,105.54,8,61
2010-12-01,15373,537.1,12,66
2010-12-01,15379,1491.46,61,768
2010-12-01,15380,230.1,1,78
2010-12-01,15384,296.92,22,245
2010-12-01,15392,319.18,19,390
2010-12-01,15394,587.66,24,242
2010-12-01,15426,406.46999999999997,74,158
2010-12-01,15454,179.1,23,86
2010-12-01,15456,243.22,25,434
2010-12-01,15460,216.76,53,109
2010-12-01,15465,867.85,9,163
2010-12-01,15468,-1.25,1,-1
2010-12-01,15482,723.64,7,256
2010-12-01,15485,950.09,22,416
2010-12-01,15498,695.72,29,463
2010-12-01,15502,544.0,22,222
2010-12-01,15503,147.09,66,74
2010-12-01,15512,101.2,6,56
2010-12-01,15513,1313.5,15,354
2010-12-01,15514,708.44,30,434
2010-12-01,15525,313.93,44,124
2010-12-01,15527,221.4,17,62
2010-12-01,15529,321.46,17,196
2010-12-01,15532,356.35,48,92
2010-12-01,15535,-25.5,1,-2
2010-12-01,15544,354.54,26,274
2010-12-01,15545,135.32999999999998,31,75
2010-12-01,15547,767.37,54,559
2010-12-01,15555,984.72,89,689
2010-12-01,15562,134.55,1,39
2010-12-01,15563,270.19,22,315
2010-12-01,15570,1064.64,80,440
2010-12-01,15574,590.15,125,303
2010-12-01,15581,325.96,44,140
2010-12-01,15587,344.88,3,120
2010-12-01,15596,402.32,21,168
2010-12-01,15601,1236.45,63,935
2010-12-01,15602,86.80000000000001,5,56
2010-12-01,15605,194.85,12,71
2010-12-01,15615,1081.19,25,373
2010-12-01,15620,424.49,31,395
2010-12-01,15628,319.18,19,250
2010-12-01,15640,2766.69,91,1463
2010-12-01,15641,308.37,20,357
2010-12-01,15646,189.8,17,230
2010-12-01,15649,510.0,1,120
2010-12-01,15658,306.2,14,64
2010-12-01,15660,209.3,10,110
2010-12-01,15664,-27.8,2,-16
2010-12-01,15680,478.89,30,331
2010-12-01,15689,103.5,6,56
2010-12-01,15694,847.3299999999999,13,192
2010-12-01,15708,342.36,31,155
2010-12-01,15713,161.2,9,58
2010-12-01,15716,547.1,35,435
2010-12-01,15723,203.10000000000002,37,87
2010-12-01,15727,1536.85,65,537
2010-12-01,15732,138.1,5,97
2010-12-01,15738,326.7,14,254
2010-12-01,15750,326.27,20,301
2010-12-01,15752,259.65000000000003,14,153
2010-12-01,15759,97.24000000000001,4,32
2010-12-01,15769,91.8,1,36
2010-12-01,15777,340.05,5,110
2010-12-01,15780,177.15,12,65
2010-12-01,15789,351.3,25,438
2010-12-01,15805,370.8,11,212
2010-12-01,15808,2239.65,81,772
2010-12-01,15811,438.8,23,128
2010-12-01,15822,440.2,16,160
2010-12-01,15823,15.0,1,1
2010-12-01,15827,190.93,13,109
2010-12-01,15834,-23.849999999999998,2,-3
2010-12-01,15838,676.7,4,-8810
2010-12-01,15854,230.1,15,92
2010-12-01,15856,3251.61,38,1322
2010-12-01,15858,383.93,44,199
2010-12-01,15860,102.66,14,72
2010-12-01,15862,354.23,64,124
2010-12-01,15867,557.22,78,252
2010-12-01,15880,313.28,95,187
2010-12-01,15881,114.45,3,55
2010-12-01,15882,350.32000000000005,16,154
2010-12-01,15889,297.92,57,149
2010-12-01,15894,156.74,32,115
2010-12-01,15898,521.69,60,230
2010-12-01,15899,56.25,4,39
2010-12-01,15916,214.15,15,63
2010-12-01,15919,270.72,38,242
2010-12-01,15922,363.6,11,136
2010-12-01,15923,127.08,21,122
2010-12-01,15945,181.0,2,52
2010-12-01,15950,428.82,28,135
2010-12-01,15953,209.84,15,101
2010-12-01,15955,572.38,20,246
2010-12-01,15965,156.19,16,74
2010-12-01,15973,307.82000000000005,4,106
2010-12-01,15983,1148.27,57,700
2010-12-01,15984,122.7,5,56
2010-12-01,15987,113.48,9,86
2010-12-01,15996,263.25,31,95
2010-12-01,15998,863.39,118,466
2010-12-01,16003,1181.0,20,184
2010-12-01,16010,110.1,24,46
2010-12-01,16011,406.1,36,228
2010-12-01,16013,1482.0,4,708
2010-12-01,16016,373.77,59,145
2010-12-01,16019,219.1,8,60
2010-12-01,16029,13112.52,18,7956
2010-12-01,16033,309.69,38,98
2010-12-01,16037,300.46,15,160
2010-12-01,16042,-49.9,2,-10
2010-12-01,16048,256.44,8,144
2010-12-01,16059,118.25,18,51
2010-12-01,16062,247.56,7,124
2010-12-01,16065,372.09,71,231
2010-12-01,16081,157.6,21,53
2010-12-01,16083,337.98,17,384
2010-12-01,16086,177.26,8,76
2010-12-01,16098,430.6,12,134
2010-12-01,16122,105.72,10,118
2010-12-01,16125,289.35,13,124
2010-12-01,16134,269.13,16,144
2010-12-01,16138,-7.95,1,-1
2010-12-01,16140,124.14,7,104
2010-12-01,16143,806.25,24,225
2010-12-01,16145,291.18,17,260
2010-12-01,16150,393.42,22,174
2010-12-01,16153,215.01,10,75
2010-12-01,16161,504.65,55,235
2010-12-01,16163,441.6,5,92
2010-12-01,16168,275.8,3,124
2010-12-01,16186,307.68,20,231
2010-12-01,16191,627.5999999999999,4,744
2010-12-01,16202,365.27,18,191
2010-12-01,16203,170.7,11,70
2010-12-01,16210,7000.64,29,2950
2010-12-01,16218,471.3,28,438
2010-12-01,16221,166.74,12,52
2010-12-01,16233,32.85,2,3
2010-12-01,16241,277.65000000000003,14,97
2010-12-01,16244,1056.63,63,619
2010-12-01,16250,226.14000000000001,14,108
2010-12-01,16252,-295.09000000000003,21,-158
2010-12-01,16255,374.25,26,173
2010-12-01,16262,-31.65,3,-5
2010-12-01,16265,840.8100000000001,36,369
2010-12-01,16270,1141.24,54,688
2010-12-01,16271,133.22,16,128
2010-12-01,16274,357.95,64,155
2010-12-01,16293,378.75,16,189
2010-12-01,16306,68.1,2,30
2010-12-01,16316,308.22,20,230
2010-12-01,16327,535.6,66,392
2010-12-01,16350,-16.0,3,-3
2010-12-01,16353,510.0,1,120
2010-12-01,16365,368.46,7,137
2010-12-01,16367,170.91,33,91
2010-12-01,16385,148.23000000000002,19,70
2010-12-01,16393,274.90000000000003,20,124
2010-12-01,16402,211.8,53,105
2010-12-01,16411,131.5,19,70
2010-12-01,16422,1945.2600000000002,24,2390
2010-12-01,16442,151.66,44,63
2010-12-01,16455,531.98,30,302
2010-12-01,16456,787.4,16,392
2010-12-01,16458,193.9,10,86
2010-12-01,16470,211.39000000000001,39,98
2010-12-01,16477,544.4,33,318
2010-12-01,16499,319.1,20,122
2010-12-01,16503,477.59000000000003,30,217
2010-12-01,16510,248.1,13,92
2010-12-01,16519,103.7,5,24
2010-12-01,16520,325.76,60,217
2010-12-01,16525,802.44,14,294
2010-12-01,16531,92.82,6,74
2010-12-01,16539,747.25,29,355
2010-12-01,16546,-583.6800000000001,12,-696
2010-12-01,16550,545.61,48,254
2010-12-01,16552,95.28999999999999,5,39
2010-12-01,16553,1605.19,18,1067
2010-12-01,16556,310.85,16,187
2010-12-01,16558,858.6,37,396
2010-12-01,16560,332.18,21,173
2010-12-01,16565,173.7,3,46
2010-12-01,16570,-36.65,2,-3
2010-12-01,16579,-30.6,1,-12
2010-12-01,16583,233.45,14,111
2010-12-01,16596,120.65,6,47
2010-12-01,16607,359.82,7,114
2010-12-01,16634,164.8,8,64
2010-12-01,16638,70.80000000000001,3,48
2010-12-01,16654,227.4,9,63
2010-12-01,16656,428.76,4,396
2010-12-01,16658,123.24,8,40
2010-12-01,16665,135.4,9,59
2010-12-01,16670,403.61,29,256
2010-12-01,16679,129.75,3,29
2010-12-01,16684,3113.4,22,1348
2010-12-01,16686,360.03,80,318
2010-12-01,16700,336.94,14,238
2010-12-01,16701,476.76,11,366
2010-12-01,16705,1129.77,15,725
2010-12-01,16710,524.97,67,249
2010-12-01,16711,214.2,1,36
2010-12-01,16713,737.69,80,297
2010-12-01,16717,307.25,15,75
2010-12-01,16718,623.75,41,413
2010-12-01,16719,430.73,44,146
2010-12-01,16722,798.07,40,593
2010-12-01,16725,327.2,67,135
2010-12-01,16726,129.57,20,57
2010-12-01,16727,272.82,41,177
2010-12-01,16743,430.28000000000003,30,338
2010-12-01,16746,311.64,11,236
2010-12-01,16752,207.5,9,54
2010-12-01,16754,2002.4,2,4280
2010-12-01,16770,237.00000000000003,11,108
2010-12-01,16775,231.9,18,62
2010-12-01,16779,672.83,35,316
2010-12-01,16781,294.65000000000003,17,111
2010-12-01,16782,559.29,70,150
2010-12-01,16795,414.88,64,239
2010-12-01,16805,214.76999999999998,55,270
2010-12-01,16810,-33.9,1,-2
2010-12-01,16812,479.35,15,81
2010-12-01,16814,273.29,15,107
2010-12-01,16816,75.78,5,48
2010-12-01,16817,324.8,17,188
2010-12-01,16835,81.75,5,19
2010-12-01,16839,552.24,5,232
2010-12-01,16858,345.89000000000004,9,83
2010-12-01,16861,-22.110000000000003,2,-7
2010-12-01,16863,162.8,9,104
2010-12-01,16873,2127.89,68,1037
2010-12-01,16883,128.03,17,54
2010-12-01,16885,190.65,27,37
2010-12-01,16891,232.26,63,92
2010-12-01,16893,145.93,44,62
2010-12-01,16898,51.730000000000004,30,65
2010-12-01,16899,170.55,16,75
2010-12-01,16904,338.7,31,139
2010-12-01,16905,254.4,10,108
2010-12-01,16907,182.01999999999998,33,68
2010-12-01,16916,198.08,48,103
2010-12-01,16919,540.01,54,211
2010-12-01,16923,540.05,49,212
2010-12-01,16926,230.25,14,35
2010-12-01,16927,218.1,2,490
2010-12-01,16928,116.25,6,93
2010-12-01,16931,364.66,68,182
2010-12-01,16945,279.85,19,157
2010-12-01,16950,172.0,3,32
2010-12-01,16954,346.8,12,194
2010-12-01,16955,164.1,7,80
2010-12-01,16983,163.49,9,107
2010-12-01,16985,933.32,18,367
2010-12-01,16995,-1.25,1,-1
2010-12-01,16996,118.69000000000001,5,43
2010-12-01,17001,397.96,12,260
2010-12-01,17007,194.62,12,94
2010-12-01,17017,2334.84,41,2000
2010-12-01,17019,358.82,48,223
2010-12-01,17025,160.97,5,139
2010-12-01,17026,33.15,3,25
2010-12-01,17033,307.8,8,124
2010-12-01,17041,288.7,17,186
2010-12-01,17044,-35.1,3,-6
2010-12-01,17059,722.36,115,471
2010-12-01,17062,431.83,41,334
2010-12-01,17068,297.45,30,118
2010-12-01,17069,569.7,22,226
2010-12-01,17076,151.5,7,58
2010-12-01,17085,728.84,69,362
2010-12-01,17090,61.2,2,24
2010-12-01,17091,293.45000000000005,13,101
2010-12-01,17097,174.72,40,67
2010-12-01,17126,202.65,51,87
2010-12-01,17135,215.57999999999998,9,222
2010-12-01,17146,298.25,16,91
2010-12-01,17158,413.79,25,251
2010-12-01,17179,243.0,20,98
2010-12-01,17181,155.52,2,216
2010-12-01,17188,404.14,6,164
2010-12-01,17189,227.22,36,103
2010-12-01,17191,510.11,69,320
2010-12-01,17194,252.62,26,118
2010-12-01,17198,521.66,73,242
2010-12-01,17204,-67.7,3,-20
2010-12-01,17211,779.71,62,501
