d,revenue,cnt_cus,cnt_pro,cnt
2011-01-12,23958.78,49.0,1084.0,10133.0
2011-01-13,20533.54,47.0,954.0,10114.0
2011-01-14,47377.26,46.0,907.0,23091.0
2011-01-15,0.0,0.0,0.0,0.0
2011-01-16,7116.61,22.0,424.0,4181.0
2011-01-17,29256.0,48.0,1214.0,13345.0
2011-01-18,18680.799999999996,34.0,900.0,8664.0
2011-01-19,25585.81,35.0,955.0,17108.0
2011-01-20,17995.91,37.0,963.0,8720.0
2011-01-21,31978.44,51.0,989.0,14938.0
2011-01-22,0.0,0.0,0.0,0.0
2011-01-23,10285.95,27.0,573.0,5194.0
2011-01-24,25555.62,46.0,848.0,11910.0
2011-01-25,27971.52,71.0,893.0,14793.0
2011-01-26,19493.32,57.0,775.0,10854.0
2011-01-27,21092.14,63.0,898.0,10974.0
2011-01-28,18567.77,44.0,662.0,17414.0
2011-01-29,0.0,0.0,0.0,0.0
2011-01-30,6456.4400000000005,22.0,488.0,3367.0
2011-01-31,22364.65,64.0,848.0,12568.0
2011-02-01,28433.22,65.0,849.0,15340.0
2011-02-02,21048.45,59.0,802.0,9355.0
2011-02-03,23344.58,48.0,604.0,16935.0
2011-02-04,24994.170000000002,42.0,760.0,11367.0
2011-02-05,0.0,0.0,0.0,0.0
2011-02-06,3457.11,11.0,220.0,2048.0
2011-02-07,25525.99,39.0,811.0,8679.0
2011-02-08,20728.14,42.0,771.0,10201.0
2011-02-09,16692.58,22.0,604.0,7148.0
2011-02-10,13427.54,58.0,532.0,11447.0
2011-02-11,20387.28,70.0,665.0,9831.0
2011-02-12,0.0,0.0,0.0,0.0
2011-02-13,5535.4,21.0,430.0,2715.0
2011-02-14,26222.03,46.0,721.0,13469.0
2011-02-15,36842.58,48.0,816.0,22533.0
2011-02-16,24730.81,56.0,699.0,15990.0
2011-02-17,26361.87,51.0,878.0,14544.0
2011-02-18,15928.4,49.0,613.0,8165.0
2011-02-19,0.0,0.0,0.0,0.0
2011-02-20,9578.89,26.0,595.0,5346.0
2011-02-21,23807.83,41.0,818.0,21456.0
2011-02-22,32292.62,52.0,900.0,21448.0
2011-02-23,26792.76,53.0,862.0,13622.0
2011-02-24,22655.83,57.0,784.0,11724.0
2011-02-25,18029.84,44.0,596.0,9888.0
2011-02-26,0.0,0.0,0.0,0.0
2011-02-27,9491.05,31.0,566.0,4858.0
2011-02-28,21753.68,49.0,931.0,9880.0
2011-03-01,25471.71,52.0,845.0,12120.0
2011-03-02,18296.45,58.0,550.0,8495.0
2011-03-03,35842.62,62.0,814.0,18414.0
2011-03-04,19474.87,38.0,723.0,13332.0
2011-03-05,0.0,0.0,0.0,0.0
2011-03-06,9596.23,28.0,520.0,4989.0
2011-03-07,30525.58,74.0,1058.0,13715.0
2011-03-08,25017.47,43.0,888.0,6918.0
2011-03-09,21907.12,51.0,778.0,4458.0
2011-03-10,25597.89,69.0,678.0,15767.0
2011-03-11,21995.28,47.0,615.0,10465.0
2011-03-12,0.0,0.0,0.0,0.0
2011-03-13,4137.62,16.0,419.0,2741.0
2011-03-14,25864.59,49.0,688.0,16717.0
2011-03-15,20660.03,45.0,728.0,8918.0
2011-03-16,21182.64,49.0,588.0,12583.0
2011-03-17,38804.25,74.0,1081.0,20589.0
2011-03-18,16770.460000000003,51.0,788.0,13756.0
2011-03-19,0.0,0.0,0.0,0.0
2011-03-20,21980.64,57.0,864.0,14165.0
2011-03-21,16370.27,58.0,637.0,10201.0
2011-03-22,31312.35,42.0,1159.0,14884.0
2011-03-23,24029.07,58.0,793.0,11283.0
2011-03-24,36562.1,69.0,795.0,18157.0
2011-03-25,30656.03,51.0,824.0,13303.0
2011-03-26,0.0,0.0,0.0,0.0
2011-03-27,8979.98,43.0,515.0,4408.0
2011-03-28,19207.03,53.0,904.0,13125.0
2011-03-29,70531.47,51.0,990.0,32413.0
2011-03-30,31489.25,75.0,902.0,19719.0
2011-03-31,31004.08,71.0,895.0,16237.0
2011-04-01,24391.78,68.0,765.0,17374.0
2011-04-02,0.0,0.0,0.0,0.0
2011-04-03,6878.1,18.0,526.0,5660.0
2011-04-04,25073.02,57.0,921.0,13045.0
2011-04-05,28353.83,54.0,751.0,14763.0
2011-04-06,17279.35,42.0,756.0,8576.0
2011-04-07,18229.0,65.0,844.0,10356.0
2011-04-08,23299.14,72.0,884.0,9230.0
2011-04-09,0.0,0.0,0.0,0.0
2011-04-10,9363.88,32.0,637.0,5526.0
2011-04-11,22110.31,60.0,778.0,13499.0
2011-04-12,25124.25,63.0,666.0,15121.0
2011-04-13,23898.2,64.0,675.0,18100.0
2011-04-14,35295.58,90.0,785.0,17401.0
2011-04-15,28327.131,40.0,719.0,12726.0
2011-04-16,0.0,0.0,0.0,0.0
2011-04-17,12704.300000000001,39.0,620.0,8181.0
2011-04-18,32185.61,67.0,1286.0,22246.0
2011-04-19,23837.65,64.0,991.0,14383.0
2011-04-20,28239.39,67.0,603.0,17973.0
2011-04-21,31198.6,69.0,967.0,18253.0
2011-04-22,0.0,0.0,0.0,0.0
2011-04-23,0.0,0.0,0.0,0.0
2011-04-24,0.0,0.0,0.0,0.0
2011-04-25,0.0,0.0,0.0,0.0
2011-04-26,30585.54,62.0,933.0,15665.0
2011-04-27,25590.56,64.0,801.0,17836.0
2011-04-28,21241.9,60.0,755.0,13184.0
2011-04-29,0.0,0.0,0.0,0.0
2011-04-30,0.0,0.0,0.0,0.0
2011-05-01,6964.66,18.0,361.0,3814.0
2011-05-02,0.0,0.0,0.0,0.0
2011-05-03,19617.86,62.0,796.0,11867.0
2011-05-04,27462.3,62.0,702.0,15765.0
2011-05-05,28750.65,93.0,917.0,17331.0
2011-05-06,35714.58,69.0,1037.0,19632.0
2011-05-07,0.0,0.0,0.0,0.0
2011-05-08,18808.920000000002,58.0,742.0,10692.0
2011-05-09,26060.43,63.0,866.0,12951.0
2011-05-10,45564.12,74.0,941.0,17719.0
2011-05-11,33240.36,66.0,848.0,16233.0
2011-05-12,59911.97,84.0,961.0,36141.0
2011-05-13,30744.07,52.0,782.0,15074.0
2011-05-14,0.0,0.0,0.0,0.0
2011-05-15,9924.28,29.0,575.0,4898.0
2011-05-16,25279.77,54.0,799.0,14484.0
2011-05-17,53603.83,81.0,910.0,26886.0
2011-05-18,34337.29,66.0,729.0,18785.0
2011-05-19,34348.75,96.0,904.0,17783.0
2011-05-20,26256.52,71.0,616.0,15154.0
2011-05-21,0.0,0.0,0.0,0.0
2011-05-22,24205.37,57.0,881.0,12736.0
2011-05-23,30739.55,74.0,850.0,16443.0
2011-05-24,37028.91,76.0,933.0,15629.0
2011-05-25,24152.28,60.0,715.0,11839.0
2011-05-26,33208.590000000004,58.0,558.0,16192.0
2011-05-27,28232.19,63.0,660.0,16713.0
2011-05-28,0.0,0.0,0.0,0.0
2011-05-29,7208.3,20.0,443.0,4084.0
2011-05-30,0.0,0.0,0.0,0.0
2011-05-31,21967.96,53.0,743.0,11546.0
2011-06-01,20191.2,55.0,826.0,10880.0
2011-06-02,32502.010000000002,54.0,879.0,13838.0
2011-06-03,16751.0,40.0,564.0,7557.0
2011-06-04,0.0,0.0,0.0,0.0
2011-06-05,25520.350000000002,62.0,758.0,13470.0
2011-06-06,16791.39,66.0,748.0,9167.0
2011-06-07,37644.3,83.0,999.0,18462.0
2011-06-08,42940.91,75.0,1051.0,20784.0
2011-06-09,45515.75,88.0,1003.0,30275.0
2011-06-10,22540.660000000003,51.0,670.0,8134.0
2011-06-11,0.0,0.0,0.0,0.0
2011-06-12,12483.86,38.0,649.0,9482.0
2011-06-13,20372.93,72.0,846.0,9387.0
2011-06-14,40211.93,45.0,880.0,-13752.0
2011-06-15,46139.18,48.0,927.0,29978.0
2011-06-16,34131.73,82.0,869.0,18178.0
2011-06-17,20800.72,39.0,586.0,11678.0
2011-06-18,0.0,0.0,0.0,0.0
2011-06-19,22360.010000000002,57.0,724.0,15060.0
2011-06-20,33493.4,64.0,1009.0,15518.0
2011-06-21,22730.01,63.0,874.0,7846.0
2011-06-22,21794.94,57.0,652.0,15769.0
2011-06-23,24273.31,74.0,971.0,14272.0
2011-06-24,8619.88,45.0,652.0,9827.0
2011-06-25,0.0,0.0,0.0,0.0
2011-06-26,6175.17,30.0,557.0,3495.0
2011-06-27,16823.86,42.0,724.0,9835.0
2011-06-28,34704.64,48.0,647.0,19642.0
2011-06-29,21775.43,44.0,999.0,11544.0
2011-06-30,43834.55,59.0,944.0,21297.0
2011-07-01,13171.82,41.0,607.0,7358.0
2011-07-02,0.0,0.0,0.0,0.0
2011-07-03,5977.14,24.0,423.0,3106.0
2011-07-04,44154.75,40.0,1105.0,15682.0
2011-07-05,40334.97,67.0,1156.0,21696.0
2011-07-06,26279.58,65.0,1004.0,19275.0
2011-07-07,31357.72,79.0,1061.0,18956.0
2011-07-08,26840.08,52.0,929.0,11681.0
2011-07-09,0.0,0.0,0.0,0.0
2011-07-10,5692.07,20.0,604.0,4214.0
2011-07-11,22429.53,49.0,935.0,14989.0
2011-07-12,25892.04,52.0,983.0,13760.0
2011-07-13,11612.050000000001,53.0,948.0,16206.0
2011-07-14,32575.96,70.0,980.0,16904.0
2011-07-15,14478.93,41.0,848.0,6841.0
2011-07-16,0.0,0.0,0.0,0.0
2011-07-17,17174.66,45.0,750.0,11042.0
2011-07-18,28443.27,56.0,1207.0,14366.0
2011-07-19,49316.78,71.0,860.0,26287.0
2011-07-20,27305.41,51.0,1059.0,16795.0
2011-07-21,30957.07,74.0,917.0,19747.0
2011-07-22,20015.23,42.0,888.0,10019.0
2011-07-23,0.0,0.0,0.0,0.0
2011-07-24,26476.2,55.0,654.0,17271.0
2011-07-25,26687.65,53.0,1023.0,15457.0
2011-07-26,21271.301,57.0,792.0,13560.0
2011-07-27,25568.45,40.0,784.0,13859.0
2011-07-28,55706.88,90.0,884.0,29700.0
2011-07-29,18094.21,60.0,688.0,11472.0
2011-07-30,0.0,0.0,0.0,0.0
2011-07-31,33486.36,37.0,789.0,20873.0
2011-08-01,21362.84,38.0,770.0,9947.0
2011-08-02,14947.27,53.0,862.0,15624.0
2011-08-03,27075.02,70.0,871.0,15660.0
2011-08-04,61028.65,80.0,905.0,37992.0
2011-08-05,21298.3,51.0,842.0,12200.0
2011-08-06,0.0,0.0,0.0,0.0
2011-08-07,7464.12,28.0,409.0,5080.0
2011-08-08,19987.15,49.0,830.0,13104.0
2011-08-09,26623.2,51.0,665.0,15605.0
2011-08-10,27474.22,51.0,833.0,14228.0
2011-08-11,72132.79000000001,71.0,1059.0,40191.0
2011-08-12,10049.480000000001,42.0,717.0,11962.0
2011-08-13,0.0,0.0,0.0,0.0
2011-08-14,5150.18,31.0,390.0,3135.0
2011-08-15,17205.54,48.0,619.0,10141.0
2011-08-16,19103.71,48.0,674.0,11213.0
2011-08-17,49392.22,47.0,946.0,23567.0
2011-08-18,53225.67,83.0,879.0,33122.0
2011-08-19,17248.54,59.0,562.0,10609.0
2011-08-20,0.0,0.0,0.0,0.0
2011-08-21,14549.210000000001,37.0,658.0,8164.0
2011-08-22,27978.41,60.0,732.0,15387.0
2011-08-23,25756.3,62.0,823.0,15112.0
2011-08-24,37074.9,79.0,965.0,29288.0
2011-08-25,22458.88,80.0,798.0,13184.0
2011-08-26,25550.23,43.0,628.0,17756.0
2011-08-27,0.0,0.0,0.0,0.0
2011-08-28,10784.78,36.0,736.0,6770.0
2011-08-29,0.0,0.0,0.0,0.0
2011-08-30,31640.9,28.0,1310.0,10182.0
2011-08-31,16118.0,72.0,847.0,6976.0
2011-09-01,37296.6,72.0,777.0,27829.0
2011-09-02,41745.07,67.0,1140.0,10725.0
2011-09-03,0.0,0.0,0.0,0.0
2011-09-04,17018.49,46.0,825.0,10941.0
2011-09-05,36844.04,60.0,897.0,23484.0
2011-09-06,28052.62,55.0,710.0,14959.0
2011-09-07,34125.65,45.0,1094.0,16211.0
2011-09-08,26708.0,64.0,945.0,16944.0
2011-09-09,29317.69,68.0,926.0,16100.0
2011-09-10,0.0,0.0,0.0,0.0
2011-09-11,35465.47,68.0,1019.0,21122.0
2011-09-12,29039.31,80.0,916.0,17086.0
2011-09-13,54828.45,64.0,1098.0,36904.0
2011-09-14,23360.66,68.0,870.0,9590.0
2011-09-15,62943.81,92.0,1022.0,29181.0
2011-09-16,25858.06,50.0,825.0,15166.0
2011-09-17,0.0,0.0,0.0,0.0
2011-09-18,15692.33,25.0,830.0,8966.0
2011-09-19,46212.21,79.0,786.0,28973.0
2011-09-20,109286.21,56.0,900.0,43702.0
2011-09-21,42944.07,84.0,1345.0,19581.0
2011-09-22,57076.83,111.0,1219.0,32263.0
2011-09-23,39426.48,71.0,1297.0,21222.0
2011-09-24,0.0,0.0,0.0,0.0
2011-09-25,31210.921000000002,74.0,982.0,19329.0
2011-09-26,28642.271,66.0,914.0,14948.0
2011-09-27,35752.16,84.0,1029.0,21060.0
2011-09-28,43383.04,93.0,1316.0,25157.0
2011-09-29,43464.33,97.0,1145.0,26365.0
2011-09-30,43992.85,70.0,981.0,22009.0
2011-10-01,0.0,0.0,0.0,0.0
2011-10-02,11623.58,32.0,863.0,8380.0
2011-10-03,64214.78,53.0,1096.0,24652.0
2011-10-04,48240.840000000004,74.0,1197.0,18689.0
2011-10-05,75244.43000000001,82.0,1121.0,46161.0
2011-10-06,55306.28,154.0,1317.0,31268.0
2011-10-07,47538.02,80.0,1091.0,30431.0
2011-10-08,0.0,0.0,0.0,0.0
2011-10-09,11922.24,35.0,811.0,7275.0
2011-10-10,44265.89,95.0,1334.0,25405.0
2011-10-11,38267.75,78.0,1241.0,20091.0
2011-10-12,29302.85,78.0,1138.0,15525.0
2011-10-13,37067.17,79.0,1189.0,17859.0
2011-10-14,35225.54,63.0,998.0,17475.0
2011-10-15,0.0,0.0,0.0,0.0
2011-10-16,21605.44,32.0,800.0,8311.0
2011-10-17,47064.14,87.0,1352.0,30214.0
2011-10-18,44637.840000000004,79.0,1247.0,28960.0
2011-10-19,36003.43,87.0,1198.0,19039.0
2011-10-20,60793.14,89.0,1155.0,40802.0
2011-10-21,62961.26,59.0,810.0,24728.0
2011-10-22,0.0,0.0,0.0,0.0
2011-10-23,12302.41,40.0,970.0,7068.0
2011-10-24,38407.72,84.0,1360.0,21514.0
2011-10-25,40807.49,69.0,1152.0,24686.0
2011-10-26,37842.08,83.0,1055.0,20865.0
2011-10-27,47480.15,113.0,1154.0,32301.0
2011-10-28,39559.47,67.0,869.0,23845.0
2011-10-29,0.0,0.0,0.0,0.0
2011-10-30,34545.28,88.0,1214.0,20062.0
2011-10-31,48475.45,64.0,1620.0,4926.0
2011-11-01,28741.55,88.0,911.0,16686.0
2011-11-02,45239.06,87.0,1261.0,28319.0
2011-11-03,62816.55,95.0,1221.0,34019.0
2011-11-04,60081.76,105.0,1290.0,33546.0
2011-11-05,0.0,0.0,0.0,0.0
2011-11-06,42912.4,88.0,1315.0,23295.0
2011-11-07,70001.08,90.0,1064.0,27689.0
2011-11-08,56647.66,122.0,1487.0,26124.0
2011-11-09,62599.43,102.0,1250.0,36238.0
2011-11-10,68956.24,139.0,1329.0,38077.0
2011-11-11,54835.51,91.0,1536.0,28513.0
2011-11-12,0.0,0.0,0.0,0.0
2011-11-13,33520.22,75.0,1263.0,20356.0
2011-11-14,112141.11,109.0,1432.0,45959.0
2011-11-15,60594.23,98.0,1475.0,30221.0
2011-11-16,64408.7,119.0,1537.0,29353.0
2011-11-17,60329.72,131.0,1441.0,30779.0
2011-11-18,48031.8,129.0,1274.0,23535.0
2011-11-19,0.0,0.0,0.0,0.0
2011-11-20,34902.01,91.0,1288.0,19369.0
2011-11-21,48302.5,96.0,1270.0,24004.0
2011-11-22,62307.32,129.0,1527.0,35284.0
2011-11-23,78480.7,114.0,1420.0,37350.0
2011-11-24,48080.28,104.0,1528.0,23743.0
2011-11-25,50442.72,71.0,1390.0,31026.0
2011-11-26,0.0,0.0,0.0,0.0
2011-11-27,20571.5,51.0,1125.0,11161.0
2011-11-28,55442.020000000004,102.0,1446.0,28647.0
2011-11-29,72219.2,116.0,1560.0,30511.0
2011-11-30,59150.98,122.0,1403.0,26482.0
2011-12-01,51410.95,149.0,1274.0,26819.0
2011-12-02,57086.06,100.0,1335.0,26952.0
2011-12-03,0.0,0.0,0.0,0.0
2011-12-04,24565.78,58.0,1042.0,12396.0
2011-12-05,57751.32,114.0,1774.0,44119.0
2011-12-06,54228.37,128.0,1439.0,29026.0
2011-12-07,75076.22,101.0,1129.0,39612.0
2011-12-08,81417.78,120.0,1677.0,34460.0
2011-12-09,32131.529999999988,38.0,1084.0,12949.0
